case,problem,cores,method,status,makespan,logical_calls,new_calls,elapsed_seconds,stop_reason,failed_calls,generation_errors,summary_path
case_018,2,5,local_legacy,success,197769,12,12,6.292895791004412,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p2_n5/local_legacy/summary.json
case_031,2,5,wide_legacy,success,273263,12,12,14.861941958079115,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p2_n5/wide_legacy/summary.json
case_018,3,5,wide_legacy,success,196701,12,12,7.2798262080177665,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p3_n5/wide_legacy/summary.json
case_031,3,5,wide_legacy,success,273059,12,12,16.25484441698063,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p3_n5/wide_legacy/summary.json
case_031,2,5,local_legacy,success,277319,12,12,14.20816154195927,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p2_n5/local_legacy/summary.json
case_046,2,5,budget_greedy,success,77846,12,12,2.4634756250306964,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/budget_greedy/summary.json
case_031,3,5,budget_greedy,success,273059,12,12,20.94342016603332,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p3_n5/budget_greedy/summary.json
case_046,3,5,local_legacy,success,77846,12,12,2.480562041979283,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p3_n5/local_legacy/summary.json
case_031,3,5,budget_beam,success,273059,12,12,21.703705084044486,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p3_n5/budget_beam/summary.json
case_083,2,5,budget_greedy,success,183856,12,12,8.128249707981013,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p2_n5/budget_greedy/summary.json
