rank,case,baseline_makespan,priority_group,source_task,target_task,source_core,target_core,source_op,target_op,pair_compute_edges,source_task_compute_ops,target_task_compute_ops,producer_op_end,producer_task_end,consumer_op_start,consumer_task_start,compute_to_task_tail_cycles,task_dependency_wait_cycles,source_task_last_compute_end,source_remaining_compute_tail_cycles,source_post_compute_task_tail_cycles,source_compute_ops_ending_later,source_later_compute_examples,producer_task_release,latest_dependency_release,other_dependency_release,consumer_core_available,consumer_previous_core_task,consumer_core_idle_to_start,source_release_wait_after_core_ready,core_ready_after_source_release,consumer_on_observed_release_chain,producer_on_observed_release_chain,producer_is_latest_dependency,core_masks_source_release,other_dependency_masks_source_release,data_edge_tight_on_observed_chain,unexplained_consumer_start_gap,optimistic_opportunity_proxy_cycles,witness_scope
12,case_047,159950,0,573,595,4,3,9906,10082,1,8,3,115370,115753,116789,116753,383,1000,115744,374,9,4,9907;10486;10487;10488,116753,116753,116586,115686,533,1067,1067,0,True,True,True,False,False,True,0,167,latest required compute across this Task pair; COPY_OUT readiness unknown
1,case_075,422465,0,178,186,2,1,860,874,2,11,1,59769,64066,65346,65066,4297,1000,63961,4192,105,4,861;1154;1155;1156,65066,65066,0,61220,159,3846,3846,0,True,True,True,False,False,True,0,3846,latest required compute across this Task pair; COPY_OUT readiness unknown
2,case_075,422465,0,556,560,4,2,3896,4226,1,5,1,218807,222092,223397,223092,3285,1000,221951,3144,141,3,3930;3931;3932,223092,223092,0,217086,502,6006,6006,0,True,True,True,False,False,True,0,3285,latest required compute across this Task pair; COPY_OUT readiness unknown
3,case_075,422465,0,793,811,1,2,6529,6656,1,11,1,341918,344049,345329,345049,2131,1000,344014,2096,35,2,6530;6531,345049,345049,343944,341291,766,3758,3758,0,True,True,True,False,False,True,0,1105,latest required compute across this Task pair; COPY_OUT readiness unknown
4,case_075,422465,0,19,36,0,1,92,109,1,7,1,4648,10028,11378,11028,5380,1000,9888,5240,140,5,93;94;387;388;389,11028,11028,10028,10128,32,900,900,0,True,True,True,False,False,True,0,900,latest required compute across this Task pair; COPY_OUT readiness unknown
5,case_075,422465,0,178,206,2,3,859,876,1,11,1,58721,64066,65346,65066,5345,1000,63961,5240,105,5,860;861;1154;1155;1156,65066,65066,64066,64166,201,900,900,0,True,True,True,False,False,True,0,900,latest required compute across this Task pair; COPY_OUT readiness unknown
6,case_075,422465,0,601,641,2,3,4701,4713,1,8,33,260567,264794,267146,265794,4227,1000,264759,4192,35,4,4702;4995;4996;4997,265794,265794,265330,253427,588,12367,12367,0,True,True,True,False,False,True,0,464,latest required compute across this Task pair; COPY_OUT readiness unknown
7,case_075,422465,0,74,175,1,2,685,686,1,8,12,37344,37645,41252,38645,301,1000,37642,298,3,6,704;723;742;1565;2295,38645,38645,37750,36766,165,1879,1879,0,True,True,True,False,False,True,0,301,latest required compute across this Task pair; COPY_OUT readiness unknown
8,case_075,422465,0,800,890,1,4,7303,7425,1,5,3,394578,394727,395815,395727,149,1000,394702,124,25,3,7537;7538;7543,395727,395727,385395,394835,872,892,892,0,True,True,True,False,False,True,0,149,latest required compute across this Task pair; COPY_OUT readiness unknown
9,case_075,422465,0,551,553,2,4,3769,3771,1,41,10,202781,202919,204095,203919,138,1000,202781,0,138,0,,203919,203919,203136,203236,552,683,683,0,True,True,True,False,False,True,0,138,latest required compute across this Task pair; COPY_OUT readiness unknown
10,case_075,422465,0,585,598,3,2,4556,4557,1,6,6,241183,241311,242697,242311,128,1000,241183,0,128,0,,242311,242311,241932,241703,597,608,608,0,True,True,True,False,False,True,0,128,latest required compute across this Task pair; COPY_OUT readiness unknown
11,case_075,422465,0,944,945,4,1,7177,7623,1,17,1,402173,402290,403394,403290,117,1000,402173,0,117,0,,403290,403290,0,403165,894,125,125,0,True,True,True,False,False,True,0,117,latest required compute across this Task pair; COPY_OUT readiness unknown
12,case_075,422465,0,3,18,4,0,49,50,1,5,2,536,623,2481,1623,87,1000,620,84,3,3,59;69;79,1623,1623,1369,1469,17,154,154,0,True,True,True,False,False,True,0,87,latest required compute across this Task pair; COPY_OUT readiness unknown
1,case_085,873645,0,1038,1043,2,1,16642,16769,1,15,45,712917,714000,716888,715000,1083,1000,713965,1048,35,1,16643,715000,715000,713359,713350,1030,1650,1650,0,True,True,True,False,False,True,0,1083,latest required compute across this Task pair; COPY_OUT readiness unknown
2,case_085,873645,0,570,574,3,2,6809,6934,1,17,49,318899,323299,327329,324299,4400,1000,323091,4192,208,4,6810;7771;7772;7773,324299,324299,323299,323399,536,900,900,0,True,True,True,False,False,True,0,900,latest required compute across this Task pair; COPY_OUT readiness unknown
3,case_085,873645,0,968,991,1,4,16657,16779,1,14,3,735556,736181,737328,737181,625,1000,736172,616,9,5,17507;17508;17517;15695;16658,737181,737181,706252,734194,1066,2987,2987,0,True,True,True,False,False,True,0,625,latest required compute across this Task pair; COPY_OUT readiness unknown
4,case_085,873645,0,22,985,1,2,15398,15399,1,9,11,668441,668735,670301,669735,294,1000,668729,288,6,6,15417;15436;15455;15474;15493,669735,669735,655536,667977,1009,1758,1758,0,True,True,True,False,False,True,0,294,latest required compute across this Task pair; COPY_OUT readiness unknown
5,case_085,873645,0,487,488,2,0,6619,6620,2,3,7,274996,275272,276450,276272,276,1000,274996,0,276,0,,276272,276272,0,274824,520,1448,1448,0,True,True,True,False,False,True,0,276,latest required compute across this Task pair; COPY_OUT readiness unknown
6,case_085,873645,0,728,729,3,0,8732,8733,1,1,1,385350,385624,386898,386624,274,1000,385350,0,274,0,,386624,386624,0,383241,601,3383,3383,0,True,True,True,False,False,True,0,274,latest required compute across this Task pair; COPY_OUT readiness unknown
7,case_085,873645,0,34,219,0,2,4322,4323,1,9,24,146778,147021,151883,148021,243,1000,147018,240,3,5,4341;4360;4379;4398;4417,148021,148021,135564,146406,295,1615,1615,0,True,True,True,False,False,True,0,243,latest required compute across this Task pair; COPY_OUT readiness unknown
8,case_085,873645,0,0,1057,4,0,17805,17806,1,9,145,739190,739392,767212,740392,202,1000,739386,196,6,7,17815;17825;17835;17845;17855,740392,740392,739191,739646,1070,746,746,0,True,True,True,False,False,True,0,202,latest required compute across this Task pair; COPY_OUT readiness unknown
9,case_085,873645,0,15,862,3,1,11148,11149,1,9,11,519009,519211,521035,520211,202,1000,519205,196,6,7,11158;11168;11178;11188;11198,520211,520211,519653,519392,896,819,819,0,True,True,True,False,False,True,0,202,latest required compute across this Task pair; COPY_OUT readiness unknown
10,case_085,873645,0,32,618,0,3,8939,8940,1,9,9,401856,402027,403847,403027,171,1000,402024,168,3,6,8949;8959;8969;8979;8989,403027,403027,399731,402871,699,156,156,0,True,True,True,False,False,True,0,156,latest required compute across this Task pair; COPY_OUT readiness unknown
11,case_085,873645,0,0,1055,4,1,17825,17826,1,9,145,739246,739392,767212,740392,146,1000,739386,140,6,5,17835;17845;17855;17865;17875,740392,740392,739744,738537,1032,1855,1855,0,True,True,True,False,False,True,0,146,latest required compute across this Task pair; COPY_OUT readiness unknown
12,case_085,873645,0,15,851,3,0,11168,11169,1,9,11,519065,519211,521035,520211,146,1000,519205,140,6,5,11178;11188;11198;11208;11218,520211,520211,517644,517744,1,2467,2467,0,True,True,True,False,False,True,0,146,latest required compute across this Task pair; COPY_OUT readiness unknown
