case,compute_ops,components,largest_component_fraction,tasks_n5,median_task_ops_n5,log_ops,log_components,log_tasks_n5,log_median_task_ops_n5,selected
case_020,7008,288,0.003995433789954338,10,699.5,8.854950316500325,5.666426688112432,2.3978952727983707,6.551794365777062,False
case_021,3920,80,0.0125,10,392.0,8.27410200229233,4.394449154672439,2.3978952727983707,5.973809611869261,False
case_022,1356,32,0.13495575221238937,5,280,7.213031659834869,3.4965075614664802,1.791759469228055,5.638354669333745,False
case_023,1011,43,0.12561819980217606,10,87.5,6.919683849847411,3.784189633918261,2.3978952727983707,4.483002552013883,False
case_024,5959,1,1.0,808,8.0,8.692825760059396,0.6931471805599453,6.695798917058491,2.1972245773362196,False
case_025,18662,2666,0.00037509377344336085,5,3731,9.83429823318313,7.888709524182015,1.791759469228055,8.224699561967235,True
case_026,636,31,0.3113207547169811,3,198,6.456769655572163,3.4657359027997265,1.3862943611198906,5.293304824724492,False
case_027,1424,16,0.0625,5,267,7.261927092702751,2.833213344056216,1.791759469228055,5.5909869805108565,False
case_028,19584,153,0.006535947712418301,153,128,9.882519246099932,5.0369526024136295,5.0369526024136295,4.859812404361672,False
case_029,861,21,0.047619047619047616,5,164,6.759255270663693,3.091042453358316,1.791759469228055,5.10594547390058,False
case_030,10070,486,0.005660377358490566,10,1009.5,9.217415285648144,6.18826412308259,2.3978952727983707,6.918200536843676,False
case_031,6135,107,0.34995925020374896,5,894,8.721928343047091,4.68213122712422,1.791759469228055,6.796823718274855,False
case_032,827,25,0.22853688029020555,5,150,6.71901315438526,3.258096538021482,1.791759469228055,5.017279836814924,True
case_033,3465,95,0.01847041847041847,10,344.0,8.150756470275551,4.564348191467836,2.3978952727983707,5.84354441703136,False
case_034,3745,155,0.025100133511348464,10,332.0,8.228443883004033,5.049856007249537,2.3978952727983707,5.808142489980444,False
case_035,3857,16,0.6300233341975628,158,3.0,8.257904193465674,2.833213344056216,5.0689042022202315,1.3862943611198906,False
case_036,2400,800,0.00125,5,480,7.783640596221253,6.68586094706836,1.791759469228055,6.175867270105761,False
case_037,780,20,0.05,5,156,6.660575149839686,3.044522437723423,1.791759469228055,5.056245805348308,False
case_038,5907,130,0.019637717961740308,10,580.0,8.68406264365127,4.875197323201151,2.3978952727983707,6.364750756851911,False
case_039,5250,70,0.014285714285714285,10,525.0,8.566173813637858,4.2626798770413155,2.3978952727983707,6.26530121273771,False
case_040,3083,28,0.7116445021083361,3,480,8.03398273468322,3.367295829986474,1.3862943611198906,6.175867270105761,False
case_041,16594,494,0.010967819693865252,5,3259,9.716856724154075,6.20455776256869,1.791759469228055,8.089482474360754,False
case_042,4733,104,0.054510881047961125,6,904.0,8.46252579007393,4.653960350157523,1.9459101490553132,6.807934943699926,False
case_043,9309,38,0.5274465570952841,168,23.0,9.138844370271112,3.6635616461296463,5.1298987149230735,3.1780538303479458,True
case_044,1364,11,0.09090909090909091,2,682.0,7.21890970761906,2.4849066497880004,1.0986122886681096,6.52649485957079,False
case_045,1651,68,0.016959418534221685,10,165.5,7.409741954080923,4.23410650459726,2.3978952727983707,5.1149953094204985,False
case_046,992,8,0.125,4,248.0,6.900730664045173,2.1972245773362196,1.6094379124341003,5.517452896464707,False
case_047,13710,1,1.0,20,685.5,9.525953709356655,0.6931471805599453,3.044522437723423,6.531606225208026,False
case_048,1728,1,1.0,19,53,7.455298485683291,0.6931471805599453,2.995732273553991,3.9889840465642745,False
case_049,4303,11,0.918429003021148,83,17,8.36730010184162,2.4849066497880004,4.430816798843313,2.8903717578961645,False
case_050,4555,23,0.8805708013172339,99,19,8.424200324567073,3.1780538303479458,4.605170185988092,2.995732273553991,False
case_051,1416,1,1.0,1,1416,7.256297239690681,0.6931471805599453,0.6931471805599453,7.256297239690681,False
case_052,1008,52,0.11904761904761904,52,12.5,6.9167150203536085,3.970291913552122,3.970291913552122,2.6026896854443837,False
case_053,11670,39,0.8443016281062553,249,8,9.364862411412354,3.6888794541139363,5.521460917862246,2.1972245773362196,False
case_054,15751,24,0.97708082026538,97,14,9.664722620318962,3.2188758248682006,4.584967478670572,2.70805020110221,False
case_055,1236,24,0.14805825242718446,5,246,7.1204443723924875,3.2188758248682006,1.791759469228055,5.5093883366279774,False
case_056,7678,19,0.9721281583745767,86,11.5,8.946244609330543,2.995732273553991,4.465908118654584,2.5257286443082556,False
case_057,865,21,0.223121387283237,21,10,6.763884908562435,3.091042453358316,3.091042453358316,2.3978952727983707,False
case_058,16575,255,0.00392156862745098,10,1657.5,9.71571114505921,5.545177444479562,2.3978952727983707,7.413668858387107,False
case_059,2752,64,0.015625,5,559,7.920446505142607,4.174387269895637,1.791759469228055,6.327936783729195,False
case_060,5281,89,0.03465252793031623,5,1097,8.572060092857077,4.499809670330265,1.791759469228055,7.001245622069476,False
case_061,1115,40,0.14977578475336323,5,171,7.017506142941256,3.713572066704308,1.791759469228055,5.147494476813453,False
case_062,19636,1,1.0,86,254.5,9.885170820750231,0.6931471805599453,4.465908118654584,5.543222409643759,False
case_063,7360,1,1.0,388,15.0,8.903951072058707,0.6931471805599453,5.963579343618446,2.772588722239781,False
case_064,906,1,1.0,46,11.0,6.810142450115136,0.6931471805599453,3.8501476017100584,2.4849066497880004,False
case_065,704,42,0.08664772727272728,10,68.5,6.558197802812269,3.7612001156935624,2.3978952727983707,4.241326752570746,False
case_066,5962,28,0.6164038913116404,152,9.5,8.693328989123106,3.367295829986474,5.030437921392435,2.3513752571634776,False
case_067,8804,71,0.014084507042253521,10,868.0,9.083075020930307,4.276666119016055,2.3978952727983707,6.767343125265392,False
case_068,5351,32,0.7804148757241637,83,7,8.585225601808064,3.4965075614664802,4.430816798843313,2.0794415416798357,False
case_069,1032,1,1.0,60,6.0,6.940222469119639,0.6931471805599453,4.110873864173311,1.9459101490553132,True
case_070,1191,38,0.23929471032745592,5,247,7.083387847625295,3.6635616461296463,1.791759469228055,5.5134287461649825,False
case_071,741,1,1.0,8,93.0,6.60934924316738,0.6931471805599453,2.1972245773362196,4.543294782270004,False
case_072,29666,476,0.2069709431672622,101,241,10.2977905959381,6.1675164908883415,4.624972813284271,5.488937726156687,False
case_073,4836,39,0.02564102564102564,5,992,8.484049972822984,3.6888794541139363,1.791759469228055,6.900730664045173,False
case_074,3609,73,0.07453588251593239,10,338.5,8.191463051326927,4.304065093204169,2.3978952727983707,5.827473946998751,True
case_075,7410,1,1.0,1148,1.0,8.910720661951359,0.6931471805599453,7.046647277848756,0.6931471805599453,False
case_076,32528,809,0.003750614854894245,40,983.0,10.389887278140291,6.697034247666484,3.713572066704308,6.891625897052253,False
case_077,4486,41,0.4672313865358894,9,53,8.408939605975984,3.7376696182833684,2.302585092994046,3.9889840465642745,False
case_078,1024,8,0.125,8,128.0,6.932447891572509,2.1972245773362196,2.1972245773362196,4.859812404361672,False
case_079,18720,288,0.003472222222222222,10,1885.0,9.837401167408268,5.666426688112432,2.3978952727983707,7.542213463193403,False
case_080,1098,18,0.05555555555555555,8,122.0,7.002155954403621,2.9444389791664403,2.1972245773362196,4.812184355372417,False
case_081,3485,85,0.011764705882352941,5,697,8.156510226079966,4.454347296253507,1.791759469228055,6.548219102762372,False
case_082,4113,1,1.0,66,7.0,8.322151070212902,0.6931471805599453,4.204692619390966,2.0794415416798357,False
case_083,3844,31,0.03225806451612903,10,372.0,8.254528881939745,3.4657359027997265,2.3978952727983707,5.921578419643816,False
case_084,8616,1077,0.0009285051067780873,5,1720,9.061492275239766,6.982862751468942,1.791759469228055,7.450660796211539,False
case_085,19737,1,1.0,72,9.0,9.890300990731953,0.6931471805599453,4.290459441148391,2.302585092994046,False
case_086,5274,1,1.0,61,11,8.570733958344267,0.6931471805599453,4.127134385045092,2.4849066497880004,False
case_087,27556,196,0.4606256350704021,30,1024.0,10.224011865791892,5.2832037287379885,3.4339872044851463,6.932447891572509,False
case_088,3309,31,0.8455726805681475,76,11.0,8.104703468371108,3.4657359027997265,4.343805421853684,2.4849066497880004,False
case_089,5120,40,0.025,5,1024,8.54110501146255,3.713572066704308,1.791759469228055,6.932447891572509,False
case_090,1664,13,0.07692307692307693,10,128.0,7.417580402414544,2.639057329615259,2.3978952727983707,4.859812404361672,False
case_091,31554,513,0.004658680357482411,70,476.0,10.35948733401834,6.2422232654551655,4.2626798770413155,6.1675164908883415,False
case_092,17608,142,0.007042253521126761,10,1736.0,9.776165413960777,4.962844630259907,2.3978952727983707,7.459914766241105,False
case_093,552,69,0.014492753623188406,5,112,6.315358001522335,4.248495242049359,1.791759469228055,4.727387818712341,False
case_094,647,40,0.06800618238021638,8,85.5,6.473890696352274,3.713572066704308,2.1972245773362196,4.460144413937834,False
case_095,3696,462,0.0021645021645021645,5,736,8.215276958936633,6.137727054086234,1.791759469228055,6.602587892189336,False
case_096,1198,50,0.3313856427378965,4,339.5,7.089243155027514,3.9318256327243257,1.6094379124341003,5.830415125589567,False
case_097,6592,64,0.015625,5,1339,8.7937637591133,4.174387269895637,1.791759469228055,7.200424892944957,False
case_098,1365,27,0.28498168498168497,2,682.5,7.2196420401307355,3.332204510175204,1.0986122886681096,6.527226656164005,False
case_099,6296,202,0.01858322744599746,5,1224,8.747828608488742,5.313205979041787,1.791759469228055,7.110696122978827,False
case_100,1394,43,0.19727403156384504,5,205,7.240649694255466,3.784189633918261,1.791759469228055,5.327876168789581,False
