case,problem,cores,original_singlecore,common6_time,ours_time,team13_time,ours_copy,team13_copy,union_time,union_copy,chosen,time_winner,common6_speedup,ours_speedup,team13_speedup,union_speedup,union_vs_team_pct,team_vs_ours_pct,ours_plan,ours_plan_base,team13_plan,ours_source,status
case_002,1,5,261945,78244,64296,78244,2165760,2165760,64296,2165760,ours,ours,3.347796636163795,4.074048152295632,3.347796636163795,4.074048152295632,17.82628699964215,-21.693417942018158,A题研究/直接迭代/闭环验证_20260925/精选方案/case_002_p1_n5.json,repository,方案/p1/n5/case_002_multicore_res.json,my_runs/iterative_holdout_b8_v1/case_002/n5/iterative/summary.json,ledger comparison; union not independently replayed
case_016,1,5,7715523,3304638,3223183,3303991,119555952,119557168,3223183,119555952,ours,ours,2.3347558794639536,2.3937589023024755,2.3352130801809086,2.3937589023024755,2.4457693740691178,-2.5070869385945604,A题研究/直接迭代/联合推进成果_20260925/方案/case_016_p1_n5.json,repository,方案/p1/n5/case_016_multicore_res.json,previous_joint_delivery,ledger comparison; union not independently replayed
case_019,2,5,81144,17473,16220,17473,379948,801900,16220,379948,ours,ours,4.643964974532135,5.002712700369914,4.643964974532135,5.002712700369914,7.1710639272019705,-7.725030826140578,新增精选方案/p2/n5/case_019_multicore_res.json,delivery,方案/p2/n5/case_019_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_019,3,5,81144,15833,15396,15833,272468,801900,15396,272468,ours,ours,5.12499210509695,5.270459859703819,5.12499210509695,5.270459859703819,2.7600581064864516,-2.838399584307605,新增精选方案/p3/n5/case_019_multicore_res.json,delivery,方案/p3/n5/case_019_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_021,2,5,6567937,1250168,1244571,1250099,6553600,11431936,1244571,6553600,ours,ours,5.253643510312214,5.277269838361974,5.253933488467713,5.277269838361974,0.4422049773657899,-0.44416911530158476,新增精选方案/p2/n5/case_021_multicore_res.json,delivery,方案/p2/n5/case_021_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_021,3,5,6567937,1249311,1244853,1249311,7360512,11431936,1244853,7360512,ours,ours,5.2572473947639935,5.276074363800385,5.2572473947639935,5.276074363800385,0.3568366883826335,-0.3581145725639834,新增精选方案/p3/n5/case_021_multicore_res.json,delivery,方案/p3/n5/case_021_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_025,1,1,4863026,4869182,4863368,4869182,27648,497664,4863368,27648,ours,ours,0.998735721934403,0.9999296783628135,0.998735721934403,0.9999296783628135,0.11940403952861445,-0.11954678321690615,新增精选方案/p1/n1/case_025_multicore_res.json,delivery,方案/p1/n1/case_025_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_025,2,1,4863026,4863026,4703066,4863026,0,0,4703066,0,ours,ours,1.0,1.034011855245068,1.0,1.034011855245068,3.289309989294731,-3.401185524506789,新增精选方案/p2/n1/case_025_multicore_res.json,delivery,方案/p2/n1/case_025_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_025,3,1,4863026,4863026,4703066,4863026,0,0,4703066,0,ours,ours,1.0,1.034011855245068,1.0,1.034011855245068,3.289309989294731,-3.401185524506789,新增精选方案/p3/n1/case_025_multicore_res.json,delivery,方案/p3/n1/case_025_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_028,2,5,43836040,8387714,8166412,8387714,90393600,117674496,8166412,90393600,ours,ours,5.226220159628714,5.367845756496243,5.226220159628714,5.367845756496243,2.638406602800236,-2.7099049129531982,新增精选方案/p2/n5/case_028_multicore_res.json,delivery,方案/p2/n5/case_028_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_028,3,5,43836040,8300936,8129461,8300936,81607680,117674496,8129461,81607680,ours,ours,5.280855074656641,5.392244332065804,5.280855074656641,5.392244332065804,2.0657309007080626,-2.109303433524068,新增精选方案/p3/n5/case_028_multicore_res.json,delivery,方案/p3/n5/case_028_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_029,3,5,37555,9383,9238,9383,0,0,9238,0,ours,ours,4.002451241607162,4.065273868802771,4.002451241607162,4.065273868802771,1.5453479697324912,-1.5696038103485632,新增精选方案/p3/n5/case_029_multicore_res.json,delivery,方案/p3/n5/case_029_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_030,3,3,2808034,932019,927318,932019,3652608,8046592,927318,3652608,ours,ours,3.012850596393421,3.028124117077421,3.012850596393421,3.028124117077421,0.5043888590254064,-0.5069458373502922,新增精选方案/p3/n3/case_030_multicore_res.json,delivery,方案/p3/n3/case_030_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_030,3,5,2808034,560198,557851,560198,6481920,7257600,557851,6481920,ours,ours,5.012574125577028,5.033663110758966,5.012574125577028,5.033663110758966,0.4189590109211383,-0.42072166223596774,新增精选方案/p3/n5/case_030_multicore_res.json,delivery,方案/p3/n5/case_030_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_032,1,2,41443,20754,20719,20754,18504,18504,20719,18504,ours,ours,1.9968680736243616,2.000241324388243,1.9968680736243616,2.000241324388243,0.16864218945745746,-0.16892707176987543,A题研究/直接迭代/闭环验证_20260925/精选方案/case_032_p1_n2.json,repository,方案/p1/n2/case_032_multicore_res.json,my_runs/iterative_holdout_b8_v1/case_032/n2/single/summary.json,ledger comparison; union not independently replayed
case_032,1,3,41443,13738,13587,13738,12288,18432,13587,12288,ours,ours,3.0166690930266413,3.050195039375874,3.0166690930266413,3.050195039375874,1.0991410685689318,-1.1113564436593837,A题研究/直接迭代/闭环验证_20260925/精选方案/case_032_p1_n3.json,repository,方案/p1/n3/case_032_multicore_res.json,my_runs/iterative_holdout_b8_v1/case_032/n3/iterative/summary.json,ledger comparison; union not independently replayed
case_032,1,5,41443,10415,10110,10415,55440,12360,10110,55440,ours,ours,3.9791646663466156,4.099208704253215,3.9791646663466156,4.099208704253215,2.9284685549687994,-3.0168150346191913,新增精选方案/p1/n5/case_032_multicore_res.json,delivery,方案/p1/n5/case_032_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_032,3,5,41443,9917,9829,9917,92342,10240,9829,92342,ours,ours,4.178985580316628,4.216400447654899,4.178985580316628,4.216400447654899,0.8873651305838504,-0.895309797537891,新增精选方案/p3/n5/case_032_multicore_res.json,delivery,方案/p3/n5/case_032_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_033,2,5,1774196,368931,359574,368931,7665792,4929600,359574,7665792,ours,ours,4.80901848855206,4.934160979381157,4.80901848855206,4.934160979381157,2.5362466152207275,-2.602245991089447,新增精选方案/p2/n5/case_033_multicore_res.json,delivery,方案/p2/n5/case_033_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_033,3,5,1774196,368435,356432,368435,16531092,4929600,356432,16531092,ours,ours,4.815492556353224,4.977656327153566,4.815492556353224,4.977656327153566,3.257833810577171,-3.3675427571037364,新增精选方案/p3/n5/case_033_multicore_res.json,delivery,方案/p3/n5/case_033_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_038,2,5,1364555,277456,274362,277456,7547392,7258624,274362,7547392,ours,ours,4.918095121388617,4.973556833672301,4.918095121388617,4.973556833672301,1.115131768640798,-1.1277071897711766,新增精选方案/p2/n5/case_038_multicore_res.json,delivery,方案/p2/n5/case_038_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_038,3,5,1364555,275192,274634,275192,7870464,9667584,274634,7870464,ours,ours,4.958556208029303,4.968630977956116,4.958556208029303,4.968630977956116,0.2027675223116976,-0.2031795043585305,新增精选方案/p3/n5/case_038_multicore_res.json,delivery,方案/p3/n5/case_038_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_039,3,5,1435262,300221,298213,300221,16588800,10452992,298213,16588800,ours,ours,4.780684895460344,4.81287536089976,4.780684895460344,4.81287536089976,0.6688406207427167,-0.6733442204062134,新增精选方案/p3/n5/case_039_multicore_res.json,delivery,方案/p3/n5/case_039_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_042,2,5,1686740,354324,347174,354324,10476936,6993920,347174,10476936,ours,ours,4.760445242207697,4.858485946528254,4.760445242207697,4.858485946528254,2.017927094975225,-2.059486021418655,新增精选方案/p2/n5/case_042_multicore_res.json,delivery,方案/p2/n5/case_042_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_043,1,1,677656,677677,677408,677677,509960,1152252,677408,509960,ours,ours,0.9999690117858507,1.0003661013746517,0.9999690117858507,1.0003661013746517,0.03969442669590206,-0.03971018942794391,新增精选方案/p1/n1/case_043_multicore_res.json,delivery,方案/p1/n1/case_043_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_043,1,2,677656,351328,347015,351328,2793242,2398214,347015,2793242,ours,ours,1.9288414245377539,1.9528147198247914,1.9288414245377539,1.9528147198247914,1.2276277438746708,-1.2428857542181149,新增精选方案/p1/n2/case_043_multicore_res.json,delivery,方案/p1/n2/case_043_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_043,1,3,677656,268776,268776,268776,141320,599040,268776,141320,ours,tie,2.5212667797720036,2.5212667797720036,2.5212667797720036,2.5212667797720036,0.0,0.0,A题研究/直接迭代/闭环验证_20260925/精选方案/case_043_p1_n3.json,repository,方案/p1/n3/case_043_multicore_res.json,my_runs/iterative_holdout_b8_v1/case_043/n3/single/summary.json,ledger comparison; union not independently replayed
case_043,1,4,677656,266766,242835,266766,4098834,2819424,242835,4098834,ours,ours,2.540263751752472,2.790602672596619,2.540263751752472,2.790602672596619,8.970783383189762,-9.854839705973184,A题研究/直接迭代/闭环验证_20260925/下一阶段攻坚/重划实证_v1/精选方案/case_043_p1_n4.json,repository,方案/p1/n4/case_043_multicore_res.json,本轮开发重划,ledger comparison; union not independently replayed
case_043,2,1,677656,677656,657996,677656,856294,49160,657996,856294,ours,ours,1.0,1.0298786010857208,1.0,1.0298786010857208,2.901176998359045,-2.9878601085720824,新增精选方案/p2/n1/case_043_multicore_res.json,delivery,方案/p2/n1/case_043_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_043,2,5,677656,169830,169778,169830,6691004,6691004,169778,6691004,ours,ours,3.990201966672555,3.99142409499464,3.990201966672555,3.99142409499464,0.030618854148267705,-0.030628232161999946,新增精选方案/p2/n5/case_043_multicore_res.json,delivery,方案/p2/n5/case_043_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_043,3,1,677656,677656,657961,677656,856294,49160,657961,856294,ours,ours,1.0,1.0299333851094519,1.0,1.0299333851094519,2.9063418607671143,-2.993338510945187,新增精选方案/p3/n1/case_043_multicore_res.json,delivery,方案/p3/n1/case_043_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_043,3,5,677656,158368,158316,158368,6691004,6691004,158316,6691004,ours,ours,4.278995756718529,4.280401222870714,4.278995756718529,4.280401222870714,0.03283491614467504,-0.03284570100305917,新增精选方案/p3/n5/case_043_multicore_res.json,delivery,方案/p3/n5/case_043_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_046,1,5,276455,124612,123920,124612,5365312,4513952,123920,5365312,ours,ours,2.218526305652746,2.2309151065203356,2.218526305652746,2.2309151065203356,0.5553237248419052,-0.5584247901872175,新增精选方案/p1/n5/case_046_multicore_res.json,delivery,方案/p1/n5/case_046_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_047,2,5,326508,95504,95409,95504,2658872,2651832,95409,2658872,ours,ours,3.418788741832803,3.422192874886017,3.418788741832803,3.422192874886017,0.09947227341263742,-0.09957131926756624,新增精选方案/p2/n5/case_047_multicore_res.json,delivery,方案/p2/n5/case_047_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_047,3,5,326508,93047,92870,93036,2658872,2651832,92870,2658872,ours,ours,3.509065311079347,3.515753203402606,3.5094802012124338,3.515753203402606,0.17842555569886898,-0.17874448153332168,新增精选方案/p3/n5/case_047_multicore_res.json,delivery,方案/p3/n5/case_047_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_051,1,5,607628,607628,290405,607628,9046256,0,290405,9046256,ours,ours,1.0,2.0923468948537387,1.0,2.0923468948537387,52.20677783117302,-109.23468948537388,新增精选方案/p1/n5/case_051_multicore_res.json,delivery,方案/p1/n5/case_051_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_054,1,5,815051,447227,387450,447227,13481052,2686120,387450,13481052,ours,ours,1.8224548160106613,2.1036288553361726,1.8224548160106613,2.1036288553361726,13.366142920709168,-15.428313330752363,新增精选方案/p1/n5/case_054_multicore_res.json,delivery,方案/p1/n5/case_054_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_056,1,3,277285,255706,244205,255706,1764804,110810,244205,1764804,ours,ours,1.084389885258852,1.1354599619172416,1.084389885258852,1.1354599619172416,4.497743502303431,-4.709567781167467,A题研究/直接迭代/闭环验证_20260925/下一阶段攻坚/重划实证_v1/精选方案/case_056_p1_n3.json,repository,方案/p1/n3/case_056_multicore_res.json,本轮从头_new,ledger comparison; union not independently replayed
case_057,2,5,59726,16003,14028,14371,14112,27936,14028,14112,ours,ours,3.732175217146785,4.257627601938979,4.156008628487927,4.257627601938979,2.3867510959571403,-2.4451097804391253,新增精选方案/p2/n5/case_057_multicore_res.json,delivery,方案/p2/n5/case_057_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_057,3,5,59726,16003,14028,14371,14112,27936,14028,14112,ours,ours,3.732175217146785,4.257627601938979,4.156008628487927,4.257627601938979,2.3867510959571403,-2.4451097804391253,新增精选方案/p3/n5/case_057_multicore_res.json,delivery,方案/p3/n5/case_057_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_058,3,5,4539717,898391,880410,898391,18444288,36298752,880410,18444288,ours,ours,5.053163934189011,5.156366919957747,5.053163934189011,5.156366919957747,2.0014670672346413,-2.042343907951971,新增精选方案/p3/n5/case_058_multicore_res.json,delivery,方案/p3/n5/case_058_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_059,2,5,829473,150736,148571,150736,4087808,1757184,148571,4087808,ours,ours,5.502819498991615,5.583007450983032,5.502819498991615,5.583007450983032,1.4362859569047925,-1.4572157419684872,新增精选方案/p2/n5/case_059_multicore_res.json,delivery,方案/p2/n5/case_059_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_059,3,5,829473,150736,150528,150736,4362240,1757184,150528,4362240,ours,ours,5.502819498991615,5.51042330994898,5.502819498991615,5.51042330994898,0.13798959770724428,-0.13818027210883432,新增精选方案/p3/n5/case_059_multicore_res.json,delivery,方案/p3/n5/case_059_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_061,1,5,77191,22283,22272,22283,204420,83712,22272,204420,ours,ours,3.46412063007674,3.4658315373563218,3.46412063007674,3.4658315373563218,0.04936498676121337,-0.04938936781608838,新增精选方案/p1/n5/case_061_multicore_res.json,delivery,方案/p1/n5/case_061_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_061,2,5,77191,21715,21254,21715,305762,96000,21254,305762,ours,ours,3.554731752244992,3.631834007716195,3.554731752244992,3.631834007716195,2.122956481694682,-2.1690034816975734,新增精选方案/p2/n5/case_061_multicore_res.json,delivery,方案/p2/n5/case_061_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_061,3,5,77191,21715,20986,21715,305762,96000,20986,305762,ours,ours,3.554731752244992,3.6782140474602114,3.554731752244992,3.6782140474602114,3.3571264103154475,-3.473744401029255,新增精选方案/p3/n5/case_061_multicore_res.json,delivery,方案/p3/n5/case_061_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_062,1,5,2854809,942950,789139,942950,23235072,23235072,789139,23235072,ours,ours,3.0275295614825812,3.6176250318384975,3.0275295614825812,3.6176250318384975,16.311681425314173,-19.490989546835213,A题研究/直接迭代/联合推进成果_20260925/方案/case_062_p1_n5.json,repository,方案/p1/n5/case_062_multicore_res.json,previous_joint_delivery,ledger comparison; union not independently replayed
case_062,2,5,2854809,690843,644927,690843,7099392,9735168,644927,7099392,ours,ours,4.132355687182182,4.426561455792671,4.132355687182182,4.426561455792671,6.646372620117735,-7.119565470200495,新增精选方案/p2/n5/case_062_multicore_res.json,delivery,方案/p2/n5/case_062_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_062,3,5,2854809,690843,644927,690843,7099392,9735168,644927,7099392,ours,ours,4.132355687182182,4.426561455792671,4.132355687182182,4.426561455792671,6.646372620117735,-7.119565470200495,新增精选方案/p3/n5/case_062_multicore_res.json,delivery,方案/p3/n5/case_062_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_063,1,5,1070397,286820,252654,286820,8812032,8812032,252654,8812032,ours,ours,3.731946865630012,4.2366121256738465,3.731946865630012,4.2366121256738465,11.912000557841152,-13.522841514482264,A题研究/直接迭代/联合推进成果_20260925/方案/case_063_p1_n5.json,repository,方案/p1/n5/case_063_multicore_res.json,previous_joint_delivery,ledger comparison; union not independently replayed
case_064,2,1,19116,19116,18831,19116,0,0,18831,0,ours,ours,1.0,1.0151346184483034,1.0,1.0151346184483034,1.4908976773383542,-1.5134618448303438,新增精选方案/p2/n1/case_064_multicore_res.json,delivery,方案/p2/n1/case_064_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_064,3,1,19116,19116,18831,19116,0,0,18831,0,ours,ours,1.0,1.0151346184483034,1.0,1.0151346184483034,1.4908976773383542,-1.5134618448303438,新增精选方案/p3/n1/case_064_multicore_res.json,delivery,方案/p3/n1/case_064_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_064,3,5,19116,8516,8510,8510,127410,127474,8510,127410,ours,tie,2.2447158290277125,2.246298472385429,2.246298472385429,2.246298472385429,0.0,0.0,新增精选方案/p3/n5/case_064_multicore_res.json,delivery,方案/p3/n5/case_064_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_067,1,5,63834834,15233731,13604111,14756232,245932160,263006336,13604111,245932160,ours,ours,4.190361113767862,4.692319402568827,4.325957602184623,4.692319402568827,7.807691014887808,-8.468917961636734,新增精选方案/p1/n5/case_067_multicore_res.json,delivery,方案/p1/n5/case_067_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_068,1,3,362095,301848,290734,301848,403836,105814,290734,403836,ours,ours,1.199593835307837,1.245451168421994,1.199593835307837,1.245451168421994,3.681985635154117,-3.822738310620699,A题研究/直接迭代/闭环验证_20260925/下一阶段攻坚/重划实证_v1/精选方案/case_068_p1_n3.json,repository,方案/p1/n3/case_068_multicore_res.json,本轮从头_new,ledger comparison; union not independently replayed
case_068,2,5,362095,134477,133097,134477,4092568,4188824,133097,4092568,ours,ours,2.6926165812741214,2.7205346476629826,2.6926165812741214,2.7205346476629826,1.0261977884694073,-1.0368377949916185,新增精选方案/p2/n5/case_068_multicore_res.json,delivery,方案/p2/n5/case_068_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_068,3,5,362095,123937,121619,123937,4175156,4188824,121619,4175156,ours,ours,2.9216053317411266,2.9772897326897936,2.9216053317411266,2.9772897326897936,1.8703050743522964,-1.9059521949695402,新增精选方案/p3/n5/case_068_multicore_res.json,delivery,方案/p3/n5/case_068_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_071,1,1,18919,18919,18799,18919,57220,0,18799,57220,ours,ours,1.0,1.0063833182616098,1.0,1.0063833182616098,0.6342829959300134,-0.6383318261609761,新增精选方案/p1/n1/case_071_multicore_res.json,delivery,方案/p1/n1/case_071_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_071,1,2,18919,18799,18533,18799,313296,57220,18533,313296,ours,ours,1.0063833182616098,1.0208277127286463,1.0063833182616098,1.0208277127286463,1.414968881323475,-1.4352776129067157,新增精选方案/p1/n2/case_071_multicore_res.json,delivery,方案/p1/n2/case_071_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_071,3,5,18919,7494,7473,7485,361106,344498,7473,361106,ours,ours,2.5245529757139042,2.531647263481868,2.5275885103540414,2.531647263481868,0.16032064128256307,-0.16057808109193328,新增精选方案/p3/n5/case_071_multicore_res.json,delivery,方案/p3/n5/case_071_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_072,1,1,23897828,23450122,23151799,23450122,110610890,175833776,23151799,110610890,ours,ours,1.0190918409720853,1.0322233706330985,1.0190918409720853,1.0322233706330985,1.2721596928152445,-1.2885521336808425,新增精选方案/p1/n1/case_072_multicore_res.json,delivery,方案/p1/n1/case_072_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_072,2,1,23897828,23897828,23718216,23897828,91789712,108613680,23718216,91789712,ours,ours,1.0,1.007572744931575,1.0,1.007572744931575,0.7515829472033997,-0.7572744931575004,新增精选方案/p2/n1/case_072_multicore_res.json,delivery,方案/p2/n1/case_072_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_072,2,3,23897828,7937183,7915818,7937183,117916336,116763424,7915818,117916336,ours,ours,3.0108702294000276,3.0189966469668708,3.0108702294000276,3.0189966469668708,0.26917610441891116,-0.2699026177711561,新增精选方案/p2/n3/case_072_multicore_res.json,delivery,方案/p2/n3/case_072_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_072,3,1,23897828,23890756,23822009,23890756,83521584,108613680,23822009,83521584,ours,ours,1.000296014073393,1.0031827290469078,1.000296014073393,1.0031827290469078,0.28775564908870566,-0.28858607181283524,新增精选方案/p3/n1/case_072_multicore_res.json,delivery,方案/p3/n1/case_072_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_072,3,2,23897828,11777495,11775412,11777495,105540384,105115696,11775412,105540384,ours,ours,2.029109585697128,2.02946852305465,2.029109585697128,2.02946852305465,0.017686273694028642,-0.017689402290121947,新增精选方案/p3/n2/case_072_multicore_res.json,delivery,方案/p3/n2/case_072_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_072,3,3,23897828,7931579,7902885,7931579,119358128,116763424,7902885,119358128,ours,ours,3.0129975380690275,3.0239372077412234,3.0129975380690275,3.0239372077412234,0.361769075237095,-0.3630825957862127,新增精选方案/p3/n3/case_072_multicore_res.json,delivery,方案/p3/n3/case_072_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
