case,problem,method,call,family,parent_record,parent_span,best_before,alternative_parent,strictly_worse_parent,status,time_improved,span
case_083,2,budget_beam,9,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p2_n5/budget_beam/evaluations/attempts/20260925T192153-186b9f91c3ef46fca4828f93cae0758f/record.json,184594,184594,False,False,success,False,338352
case_083,2,budget_beam,10,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p2_n5/budget_beam/evaluations/attempts/20260925T192153-186b9f91c3ef46fca4828f93cae0758f/record.json,184594,184594,False,False,success,False,184594
case_083,2,budget_beam,11,structure,,,184594,False,False,success,False,450029
case_083,2,budget_beam,12,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p2_n5/budget_beam/evaluations/attempts/20260925T192156-108209791f8043fa9600c00ac9defc8a/record.json,184594,184594,True,False,success,True,183856
case_031,3,budget_greedy,7,structure,,,276214,False,False,success,False,310652
case_031,3,budget_greedy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p3_n5/budget_greedy/evaluations/attempts/20260925T192145-2fae6af187974520904025d9705abffc/record.json,276214,276214,False,False,success,False,277981
case_031,3,budget_greedy,9,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p3_n5/budget_greedy/evaluations/attempts/20260925T192145-2fae6af187974520904025d9705abffc/record.json,276214,276214,False,False,success,True,276203
case_031,3,budget_greedy,10,structure,,,276203,False,False,success,False,306480
case_031,3,budget_greedy,11,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p3_n5/budget_greedy/evaluations/attempts/20260925T192157-aa147d75ec4e46b9be64b594b1988143/record.json,276203,276203,False,False,success,False,276360
case_031,3,budget_greedy,12,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p3_n5/budget_greedy/evaluations/attempts/20260925T192157-aa147d75ec4e46b9be64b594b1988143/record.json,276203,276203,False,False,success,False,280284
case_018,2,local_legacy,7,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p2_n5/local_legacy/evaluations/attempts/20260925T192159-34874cfb299146b0b58e7566828aacb0/record.json,197769,197769,False,False,success,False,387607
case_018,2,local_legacy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p2_n5/local_legacy/evaluations/attempts/20260925T192159-34874cfb299146b0b58e7566828aacb0/record.json,197769,197769,False,False,success,False,226099
case_018,2,local_legacy,9,structure,,,197769,False,False,success,False,214779
case_018,2,local_legacy,10,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p2_n5/local_legacy/evaluations/attempts/20260925T192159-34874cfb299146b0b58e7566828aacb0/record.json,197769,197769,False,False,success,False,385085
case_018,2,local_legacy,11,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p2_n5/local_legacy/evaluations/attempts/20260925T192159-34874cfb299146b0b58e7566828aacb0/record.json,197769,197769,False,False,success,False,209182
case_018,2,local_legacy,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p2_n5/local_legacy/evaluations/attempts/20260925T192159-34874cfb299146b0b58e7566828aacb0/record.json,197769,197769,False,False,success,False,387463
case_046,2,budget_greedy,7,structure,,,93013,False,False,success,False,124612
case_046,2,budget_greedy,8,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p2_n5/budget_greedy/evaluations/attempts/20260925T192202-2c36af34f40940bca7c470a761fe1ff4/record.json,124612,93013,True,True,success,True,77846
case_046,2,budget_greedy,9,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p2_n5/budget_greedy/evaluations/attempts/20260925T192202-d72332da3967466b9d11f55e85bf41c5/record.json,77846,77846,False,False,success,False,79056
case_046,2,budget_greedy,10,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p2_n5/budget_greedy/evaluations/attempts/20260925T192202-d72332da3967466b9d11f55e85bf41c5/record.json,77846,77846,False,False,success,False,77846
case_046,2,budget_greedy,11,structure,,,77846,False,False,success,False,142176
case_046,2,budget_greedy,12,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p2_n5/budget_greedy/evaluations/attempts/20260925T192202-d72332da3967466b9d11f55e85bf41c5/record.json,77846,77846,False,False,success,False,93013
case_018,2,budget_greedy,7,structure,,,197769,False,False,success,False,214779
case_018,2,budget_greedy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p2_n5/budget_greedy/evaluations/attempts/20260925T192205-1a1bd7d3e1da4027945339d344faf200/record.json,197769,197769,False,False,success,False,387607
case_018,2,budget_greedy,9,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p2_n5/budget_greedy/evaluations/attempts/20260925T192205-1a1bd7d3e1da4027945339d344faf200/record.json,197769,197769,False,False,success,True,197737
case_018,2,budget_greedy,10,structure,,,197737,False,False,success,False,219420
case_018,2,budget_greedy,11,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p2_n5/budget_greedy/evaluations/attempts/20260925T192210-219b21f5b5f74e86a8c1412a23637df3/record.json,197737,197737,False,False,success,False,197737
case_018,2,budget_greedy,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p2_n5/budget_greedy/evaluations/attempts/20260925T192210-219b21f5b5f74e86a8c1412a23637df3/record.json,197737,197737,False,False,success,False,197737
case_018,3,budget_greedy,7,structure,,,196701,False,False,success,False,213224
case_018,3,budget_greedy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p3_n5/budget_greedy/evaluations/attempts/20260925T192205-3741c0a268184106a452c005e515815f/record.json,196701,196701,False,False,success,False,387406
case_018,3,budget_greedy,9,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p3_n5/budget_greedy/evaluations/attempts/20260925T192205-3741c0a268184106a452c005e515815f/record.json,196701,196701,False,False,success,False,196701
case_018,3,budget_greedy,10,structure,,,196701,False,False,success,False,217834
case_018,3,budget_greedy,11,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p3_n5/budget_greedy/evaluations/attempts/20260925T192210-fc90f60afb8b4cfa9ad808a124c98a50/record.json,196701,196701,False,False,success,False,196701
case_018,3,budget_greedy,12,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p3_n5/budget_greedy/evaluations/attempts/20260925T192210-fc90f60afb8b4cfa9ad808a124c98a50/record.json,196701,196701,False,False,success,False,197737
case_083,3,budget_beam,7,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p3_n5/budget_beam/evaluations/attempts/20260925T192212-d852462ba4cb4234bb007e1678ac373f/record.json,310731,256114,True,True,success,True,184594
case_083,3,budget_beam,8,structure,,,184594,False,False,success,False,310731
case_083,3,budget_beam,9,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p3_n5/budget_beam/evaluations/attempts/20260925T192215-3fc54f88aedf4ad1bad343e3dd73f1f5/record.json,184594,184594,False,False,success,False,338352
case_083,3,budget_beam,10,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p3_n5/budget_beam/evaluations/attempts/20260925T192215-3fc54f88aedf4ad1bad343e3dd73f1f5/record.json,184594,184594,False,False,success,False,184594
case_083,3,budget_beam,11,structure,,,184594,False,False,success,False,333151
case_083,3,budget_beam,12,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p3_n5/budget_beam/evaluations/attempts/20260925T192215-3fc54f88aedf4ad1bad343e3dd73f1f5/record.json,184594,184594,False,False,success,True,183787
case_031,2,budget_greedy,7,structure,,,277319,False,False,success,False,312382
case_031,2,budget_greedy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p2_n5/budget_greedy/evaluations/attempts/20260925T192214-f91e50b4f6fa488cb91fb86dba59f737/record.json,277319,277319,False,False,success,False,278639
case_031,2,budget_greedy,9,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p2_n5/budget_greedy/evaluations/attempts/20260925T192214-f91e50b4f6fa488cb91fb86dba59f737/record.json,277319,277319,False,False,success,False,277642
case_031,2,budget_greedy,10,structure,,,277319,False,False,success,False,306480
case_031,2,budget_greedy,11,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p2_n5/budget_greedy/evaluations/attempts/20260925T192214-f91e50b4f6fa488cb91fb86dba59f737/record.json,277319,277319,False,False,success,False,281566
case_031,2,budget_greedy,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p2_n5/budget_greedy/evaluations/attempts/20260925T192214-f91e50b4f6fa488cb91fb86dba59f737/record.json,277319,277319,False,False,success,False,380961
case_031,3,budget_beam,7,structure,,,276214,False,False,success,False,310652
case_031,3,budget_beam,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p3_n5/budget_beam/evaluations/attempts/20260925T192225-1a3967bebf3346b895d32013bbc12c99/record.json,276214,276214,False,False,success,False,277981
case_031,3,budget_beam,9,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p3_n5/budget_beam/evaluations/attempts/20260925T192233-2dd860be3ee443a1a6ad9b84d328c203/record.json,277981,276214,True,True,success,False,277996
case_031,3,budget_beam,10,structure,,,276214,False,False,success,False,306480
case_031,3,budget_beam,11,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p3_n5/budget_beam/evaluations/attempts/20260925T192237-d83032ccccad4c858b6c45f5f8772ead/record.json,277996,276214,True,True,success,False,277996
case_031,3,budget_beam,12,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p3_n5/budget_beam/evaluations/attempts/20260925T192225-1a3967bebf3346b895d32013bbc12c99/record.json,276214,276214,False,False,success,True,276203
case_031,3,local_legacy,7,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p3_n5/local_legacy/evaluations/attempts/20260925T192238-543d987e636e40b196365a7e4833ddbf/record.json,276214,276214,False,False,success,False,277981
case_031,3,local_legacy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p3_n5/local_legacy/evaluations/attempts/20260925T192238-543d987e636e40b196365a7e4833ddbf/record.json,276214,276214,False,False,success,True,276203
case_031,3,local_legacy,9,structure,,,276203,False,False,success,False,310652
case_031,3,local_legacy,10,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p3_n5/local_legacy/evaluations/attempts/20260925T192244-e7089db8201e49b3ba6790607d7cb01f/record.json,276203,276203,False,False,success,False,277511
case_031,3,local_legacy,11,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p3_n5/local_legacy/evaluations/attempts/20260925T192244-e7089db8201e49b3ba6790607d7cb01f/record.json,276203,276203,False,False,success,False,276360
case_031,3,local_legacy,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p3_n5/local_legacy/evaluations/attempts/20260925T192244-e7089db8201e49b3ba6790607d7cb01f/record.json,276203,276203,False,False,success,False,367414
case_018,3,budget_beam,7,structure,,,196701,False,False,success,False,213224
case_018,3,budget_beam,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p3_n5/budget_beam/evaluations/attempts/20260925T192253-8d7915fbdb734b618af3c657a2687bb6/record.json,196701,196701,False,False,success,False,387406
case_018,3,budget_beam,9,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p3_n5/budget_beam/evaluations/attempts/20260925T192253-6fdf477d50fa466dadfeb3931b951e9b/record.json,200729,196701,True,True,success,False,200729
case_018,3,budget_beam,10,structure,,,196701,False,False,success,False,217834
case_018,3,budget_beam,11,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p3_n5/budget_beam/evaluations/attempts/20260925T192258-02dfac0f911e4f7cb98a162c168478d8/record.json,200729,196701,True,True,success,False,200729
case_018,3,budget_beam,12,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p3_n5/budget_beam/evaluations/attempts/20260925T192259-d2ae96fe148f47399fc9b043653f5ab3/record.json,200729,196701,True,True,success,False,200729
case_018,2,budget_beam,7,structure,,,197769,False,False,success,False,214779
case_018,2,budget_beam,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p2_n5/budget_beam/evaluations/attempts/20260925T192301-e858a0d42c0746439e37ae35d1459682/record.json,197769,197769,False,False,success,False,387607
case_018,2,budget_beam,9,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p2_n5/budget_beam/evaluations/attempts/20260925T192301-9986926a056940faa4cc7ca38aa507cc/record.json,203434,197769,True,True,success,False,203155
case_018,2,budget_beam,10,structure,,,197769,False,False,success,False,219420
case_018,2,budget_beam,11,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p2_n5/budget_beam/evaluations/attempts/20260925T192306-6ffe9e81fbeb444897bd4d47899000d9/record.json,203155,197769,True,True,success,False,203155
case_018,2,budget_beam,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p2_n5/budget_beam/evaluations/attempts/20260925T192307-53116a0a841c45e7b0af7e3521805ad9/record.json,203155,197769,True,True,success,False,203155
case_046,3,local_legacy,7,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p3_n5/local_legacy/evaluations/attempts/20260925T192308-8733a1c4a85b4b37833860d6575e35ab/record.json,92391,92391,False,False,success,False,93464
case_046,3,local_legacy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p3_n5/local_legacy/evaluations/attempts/20260925T192308-8733a1c4a85b4b37833860d6575e35ab/record.json,92391,92391,False,False,success,False,92391
case_046,3,local_legacy,9,structure,,,92391,False,False,success,False,105932
case_046,3,local_legacy,10,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p3_n5/local_legacy/evaluations/attempts/20260925T192310-c8a7546e1f5d4e90aad170bed7e11d06/record.json,105932,92391,True,True,success,True,77846
case_046,3,local_legacy,11,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p3_n5/local_legacy/evaluations/attempts/20260925T192310-62917e3b37a84fd997b84e54df4851df/record.json,77846,77846,False,False,success,False,79056
case_046,3,local_legacy,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p3_n5/local_legacy/evaluations/attempts/20260925T192310-62917e3b37a84fd997b84e54df4851df/record.json,77846,77846,False,False,success,False,77846
case_046,2,local_legacy,7,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p2_n5/local_legacy/evaluations/attempts/20260925T192311-e30ae16d9fcf4a99b3dd457439e60cd7/record.json,93013,93013,False,False,success,False,94086
case_046,2,local_legacy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p2_n5/local_legacy/evaluations/attempts/20260925T192311-e30ae16d9fcf4a99b3dd457439e60cd7/record.json,93013,93013,False,False,success,False,131039
case_046,2,local_legacy,9,structure,,,93013,False,False,success,False,124612
case_046,2,local_legacy,10,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p2_n5/local_legacy/evaluations/attempts/20260925T192312-db04191ed57848dfb712c54681b3682d/record.json,124612,93013,True,True,success,True,77846
case_046,2,local_legacy,11,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p2_n5/local_legacy/evaluations/attempts/20260925T192312-58bacb467d604b828173fa541078ba82/record.json,77846,77846,False,False,success,False,79056
case_046,2,local_legacy,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p2_n5/local_legacy/evaluations/attempts/20260925T192312-58bacb467d604b828173fa541078ba82/record.json,77846,77846,False,False,success,False,124612
case_046,3,budget_greedy,7,structure,,,92391,False,False,success,False,105932
case_046,3,budget_greedy,8,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p3_n5/budget_greedy/evaluations/attempts/20260925T192314-4011736cf92d46618f7e9d905c802ec7/record.json,105932,92391,True,True,success,True,77846
case_046,3,budget_greedy,9,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p3_n5/budget_greedy/evaluations/attempts/20260925T192314-3ad8d2a764684c25886f89a6367e25a6/record.json,77846,77846,False,False,success,False,79056
case_046,3,budget_greedy,10,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p3_n5/budget_greedy/evaluations/attempts/20260925T192314-3ad8d2a764684c25886f89a6367e25a6/record.json,77846,77846,False,False,success,False,77846
case_046,3,budget_greedy,11,structure,,,77846,False,False,success,False,121494
case_046,3,budget_greedy,12,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p3_n5/budget_greedy/evaluations/attempts/20260925T192314-3ad8d2a764684c25886f89a6367e25a6/record.json,77846,77846,False,False,success,False,92391
case_083,3,budget_greedy,7,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p3_n5/budget_greedy/evaluations/attempts/20260925T192312-2c55d203c47943daa8dfd9a96d4d3596/record.json,310731,256114,True,True,success,True,184594
case_083,3,budget_greedy,8,structure,,,184594,False,False,success,False,310731
case_083,3,budget_greedy,9,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p3_n5/budget_greedy/evaluations/attempts/20260925T192315-6adba5dd231642979edba06cfcd9d9f2/record.json,184594,184594,False,False,success,False,338352
case_083,3,budget_greedy,10,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p3_n5/budget_greedy/evaluations/attempts/20260925T192315-6adba5dd231642979edba06cfcd9d9f2/record.json,184594,184594,False,False,success,False,184594
case_083,3,budget_greedy,11,structure,,,184594,False,False,success,False,333151
case_083,3,budget_greedy,12,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p3_n5/budget_greedy/evaluations/attempts/20260925T192315-6adba5dd231642979edba06cfcd9d9f2/record.json,184594,184594,False,False,success,True,183787
case_018,3,local_legacy,7,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p3_n5/local_legacy/evaluations/attempts/20260925T192322-d77daf8964264de9afe3ce92a361fc8a/record.json,196701,196701,False,False,success,False,387406
case_018,3,local_legacy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p3_n5/local_legacy/evaluations/attempts/20260925T192322-d77daf8964264de9afe3ce92a361fc8a/record.json,196701,196701,False,False,success,False,196701
case_018,3,local_legacy,9,structure,,,196701,False,False,success,False,213224
case_018,3,local_legacy,10,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p3_n5/local_legacy/evaluations/attempts/20260925T192324-71240d5ae8be4c7d8385613efba0cd4c/record.json,196701,196701,False,False,success,False,196701
case_018,3,local_legacy,11,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p3_n5/local_legacy/evaluations/attempts/20260925T192324-71240d5ae8be4c7d8385613efba0cd4c/record.json,196701,196701,False,False,success,False,196701
case_018,3,local_legacy,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p3_n5/local_legacy/evaluations/attempts/20260925T192324-71240d5ae8be4c7d8385613efba0cd4c/record.json,196701,196701,False,False,success,False,223662
case_083,3,local_legacy,7,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p3_n5/local_legacy/evaluations/attempts/20260925T192320-8969c1ccebb94ea884a6b4c4524fad11/record.json,310731,256114,True,True,success,True,184594
case_083,3,local_legacy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p3_n5/local_legacy/evaluations/attempts/20260925T192324-7bb789e53f1a478f866e6029e25ee307/record.json,184594,184594,False,False,success,False,338352
case_083,3,local_legacy,9,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p3_n5/local_legacy/evaluations/attempts/20260925T192324-7bb789e53f1a478f866e6029e25ee307/record.json,184594,184594,False,False,success,False,184594
case_083,3,local_legacy,10,structure,,,184594,False,False,success,False,310731
case_083,3,local_legacy,11,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p3_n5/local_legacy/evaluations/attempts/20260925T192324-7bb789e53f1a478f866e6029e25ee307/record.json,184594,184594,False,False,success,False,185285
case_083,3,local_legacy,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p3_n5/local_legacy/evaluations/attempts/20260925T192324-7bb789e53f1a478f866e6029e25ee307/record.json,184594,184594,False,False,success,False,184594
case_031,2,local_legacy,7,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p2_n5/local_legacy/evaluations/attempts/20260925T192331-9ff92f3dd0f74b6fbfa28bc9dbf945d6/record.json,277319,277319,False,False,success,False,278639
