rank,case,baseline_makespan,priority_group,source_task,target_task,source_core,target_core,source_op,target_op,pair_compute_edges,source_task_compute_ops,target_task_compute_ops,producer_op_end,producer_task_end,consumer_op_start,consumer_task_start,compute_to_task_tail_cycles,task_dependency_wait_cycles,source_task_last_compute_end,source_remaining_compute_tail_cycles,source_post_compute_task_tail_cycles,source_compute_ops_ending_later,source_later_compute_examples,producer_task_release,latest_dependency_release,other_dependency_release,consumer_core_available,consumer_previous_core_task,consumer_core_idle_to_start,source_release_wait_after_core_ready,core_ready_after_source_release,consumer_on_observed_release_chain,producer_on_observed_release_chain,producer_is_latest_dependency,core_masks_source_release,other_dependency_masks_source_release,data_edge_tight_on_observed_chain,unexplained_consumer_start_gap,optimistic_opportunity_proxy_cycles,witness_scope
8,case_075,424934,0,215,225,3,4,162,682,1,5,12,37964,38069,39217,39069,105,1000,37964,0,105,0,,39069,39069,38069,38169,224,900,900,0,True,True,True,False,False,True,0,105,latest required compute across this Task pair; COPY_OUT readiness unknown
9,case_075,424934,0,28,583,3,0,4539,4540,1,4,6,242862,242964,244569,243964,102,1000,242958,96,6,2,4558;4577,243964,243964,243793,242893,565,1071,1071,0,True,True,True,False,False,True,0,102,latest required compute across this Task pair; COPY_OUT readiness unknown
10,case_075,424934,0,531,534,3,1,3789,3790,1,41,10,202593,202719,203954,203719,126,1000,202593,0,126,0,,203719,203719,203523,203623,533,96,96,0,True,True,True,False,False,True,0,96,latest required compute across this Task pair; COPY_OUT readiness unknown
1,case_085,873645,0,1038,1043,2,1,16642,16769,1,15,45,712917,714000,716888,715000,1083,1000,713965,1048,35,1,16643,715000,715000,713359,713350,1030,1650,1650,0,True,True,True,False,False,True,0,1083,latest required compute across this Task pair; COPY_OUT readiness unknown
2,case_085,873645,0,570,574,3,2,6809,6934,1,17,49,318899,323299,327329,324299,4400,1000,323091,4192,208,4,6810;7771;7772;7773,324299,324299,323299,323399,536,900,900,0,True,True,True,False,False,True,0,900,latest required compute across this Task pair; COPY_OUT readiness unknown
3,case_085,873645,0,968,991,1,4,16657,16779,1,14,3,735556,736181,737328,737181,625,1000,736172,616,9,5,17507;17508;17517;15695;16658,737181,737181,706252,734194,1066,2987,2987,0,True,True,True,False,False,True,0,625,latest required compute across this Task pair; COPY_OUT readiness unknown
4,case_085,873645,0,22,985,1,2,15398,15399,1,9,11,668441,668735,670301,669735,294,1000,668729,288,6,6,15417;15436;15455;15474;15493,669735,669735,655536,667977,1009,1758,1758,0,True,True,True,False,False,True,0,294,latest required compute across this Task pair; COPY_OUT readiness unknown
5,case_085,873645,0,487,488,2,0,6619,6620,2,3,7,274996,275272,276450,276272,276,1000,274996,0,276,0,,276272,276272,0,274824,520,1448,1448,0,True,True,True,False,False,True,0,276,latest required compute across this Task pair; COPY_OUT readiness unknown
6,case_085,873645,0,728,729,3,0,8732,8733,1,1,1,385350,385624,386898,386624,274,1000,385350,0,274,0,,386624,386624,0,383241,601,3383,3383,0,True,True,True,False,False,True,0,274,latest required compute across this Task pair; COPY_OUT readiness unknown
7,case_085,873645,0,34,219,0,2,4322,4323,1,9,24,146778,147021,151883,148021,243,1000,147018,240,3,5,4341;4360;4379;4398;4417,148021,148021,135564,146406,295,1615,1615,0,True,True,True,False,False,True,0,243,latest required compute across this Task pair; COPY_OUT readiness unknown
8,case_085,873645,0,0,1057,4,0,17805,17806,1,9,145,739190,739392,767212,740392,202,1000,739386,196,6,7,17815;17825;17835;17845;17855,740392,740392,739191,739646,1070,746,746,0,True,True,True,False,False,True,0,202,latest required compute across this Task pair; COPY_OUT readiness unknown
9,case_085,873645,0,15,862,3,1,11148,11149,1,9,11,519009,519211,521035,520211,202,1000,519205,196,6,7,11158;11168;11178;11188;11198,520211,520211,519653,519392,896,819,819,0,True,True,True,False,False,True,0,202,latest required compute across this Task pair; COPY_OUT readiness unknown
10,case_085,873645,0,32,618,0,3,8939,8940,1,9,9,401856,402027,403847,403027,171,1000,402024,168,3,6,8949;8959;8969;8979;8989,403027,403027,399731,402871,699,156,156,0,True,True,True,False,False,True,0,156,latest required compute across this Task pair; COPY_OUT readiness unknown
