case,problem,cores,method,status,makespan,logical_calls,new_calls,elapsed_seconds,stop_reason,failed_calls,generation_errors,summary_path
case_018,2,5,integrated,success,197737,12,12,9.419275416992605,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_018/p2_n5/integrated/summary.json
case_018,3,5,local_legacy,success,196701,12,12,6.615919750067405,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_018/p3_n5/local_legacy/summary.json
case_011,3,5,baseline,success,46329,12,12,2.086557916016318,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_011/p3_n5/baseline/summary.json
case_083,2,5,local_legacy,success,184771,12,12,6.868188707972877,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_083/p2_n5/local_legacy/summary.json
case_046,2,5,baseline,success,77846,12,12,2.012077125022188,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_046/p2_n5/baseline/summary.json
case_083,2,5,integrated,success,304407,12,12,8.798000292037614,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_083/p2_n5/integrated/summary.json
case_046,2,5,local_legacy,success,93013,12,12,2.114465041900985,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_046/p2_n5/local_legacy/summary.json
case_011,3,5,integrated,success,41537,12,12,3.1882500830106437,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_011/p3_n5/integrated/summary.json
case_083,3,5,baseline,success,184594,12,12,5.161513083032332,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_083/p3_n5/baseline/summary.json
case_043,1,5,integrated,success,232684,12,12,70.11007941595744,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_043/p1_n5/integrated/summary.json
