batch,case,method,stage,generated,admitted,ratio,tasks,small_merge_caps,rule,reason
综合粒度回归_v1,case_017,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_017,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_017,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_017,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_017,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_017,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_017,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_026,portfolio_diverse,tensor_gate,8,1,0.85,,,,
综合粒度回归_v1,case_026,portfolio_diverse,task_route,,,,31,[],,
综合粒度回归_v1,case_026,portfolio_diverse,tensor_gate,8,1,0.85,,,,
综合粒度回归_v1,case_026,portfolio_diverse,task_route,,,,31,[],,
综合粒度回归_v1,case_026,portfolio_diverse,tensor_gate,8,1,0.85,,,,
综合粒度回归_v1,case_026,portfolio_diverse,task_route,,,,31,[],,
综合粒度回归_v1,case_026,portfolio,tensor_gate,8,1,0.85,,,,
综合粒度回归_v1,case_026,portfolio,task_route,,,,31,[],,
综合粒度回归_v1,case_026,portfolio,tensor_gate,8,1,0.85,,,,
综合粒度回归_v1,case_026,portfolio,task_route,,,,31,[],,
综合粒度回归_v1,case_026,portfolio,tensor_gate,8,1,0.85,,,,
综合粒度回归_v1,case_026,portfolio,task_route,,,,31,[],,
综合粒度回归_v1,case_042,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_042,portfolio_diverse,task_route,,,,104,[],,
综合粒度回归_v1,case_042,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_042,portfolio_diverse,task_route,,,,104,[],,
综合粒度回归_v1,case_042,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_042,portfolio_diverse,task_route,,,,104,[],,
综合粒度回归_v1,case_042,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_042,portfolio,task_route,,,,104,[],,
综合粒度回归_v1,case_042,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_042,portfolio,task_route,,,,104,[],,
综合粒度回归_v1,case_042,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_042,portfolio,task_route,,,,104,[],,
综合粒度回归_v1,case_074,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_074,portfolio_diverse,task_route,,,,10,[],,
综合粒度回归_v1,case_074,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_074,portfolio_diverse,task_route,,,,10,[],,
综合粒度回归_v1,case_074,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_074,portfolio_diverse,task_route,,,,10,[],,
综合粒度回归_v1,case_074,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_074,portfolio,task_route,,,,10,[],,
综合粒度回归_v1,case_074,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_074,portfolio,task_route,,,,10,[],,
综合粒度回归_v1,case_074,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_074,portfolio,task_route,,,,10,[],,
综合粒度回归_v1,case_018,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_018,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_018,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_018,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_018,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_018,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_018,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_018,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_018,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_018,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_018,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_018,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_027,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_027,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_027,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_027,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_027,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_027,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_027,portfolio,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_027,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_027,portfolio,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_027,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_027,portfolio,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_027,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_100,portfolio_diverse,tensor_gate,8,2,0.85,,,,
综合粒度回归_v1,case_100,portfolio_diverse,task_route,,,,43,[],,
综合粒度回归_v1,case_100,portfolio_diverse,tensor_gate,8,2,0.85,,,,
综合粒度回归_v1,case_100,portfolio_diverse,task_route,,,,43,[],,
综合粒度回归_v1,case_100,portfolio_diverse,tensor_gate,8,2,0.85,,,,
综合粒度回归_v1,case_100,portfolio_diverse,task_route,,,,43,[],,
综合粒度回归_v1,case_100,portfolio,tensor_gate,8,2,0.85,,,,
综合粒度回归_v1,case_100,portfolio,task_route,,,,43,[],,
综合粒度回归_v1,case_100,portfolio,tensor_gate,8,2,0.85,,,,
综合粒度回归_v1,case_100,portfolio,task_route,,,,43,[],,
综合粒度回归_v1,case_100,portfolio,tensor_gate,8,2,0.85,,,,
综合粒度回归_v1,case_100,portfolio,task_route,,,,43,[],,
综合粒度回归_v1,case_002,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_002,portfolio_diverse,task_route,,,,409,"[8, 16]",,
综合粒度回归_v1,case_002,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_002,portfolio_diverse,task_route,,,,409,"[8, 16]",,
综合粒度回归_v1,case_002,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_002,portfolio_diverse,task_route,,,,409,"[8, 16]",,
综合粒度回归_v1,case_002,portfolio,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_002,portfolio,task_route,,,,409,"[8, 16]",,
综合粒度回归_v1,case_002,portfolio,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_002,portfolio,task_route,,,,409,"[8, 16]",,
综合粒度回归_v1,case_002,portfolio,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_002,portfolio,task_route,,,,409,"[8, 16]",,
综合粒度回归_v1,case_093,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_093,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_093,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_093,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_093,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_093,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_093,portfolio,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_093,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_093,portfolio,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_093,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_093,portfolio,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_093,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_066,portfolio_diverse,tensor_gate,8,1,0.85,,,,
综合粒度回归_v1,case_066,portfolio_diverse,task_route,,,,152,[],,
综合粒度回归_v1,case_066,portfolio_diverse,tensor_gate,8,1,0.85,,,,
综合粒度回归_v1,case_066,portfolio_diverse,task_route,,,,152,[],,
综合粒度回归_v1,case_066,portfolio_diverse,tensor_gate,8,1,0.85,,,,
综合粒度回归_v1,case_066,portfolio_diverse,task_route,,,,152,[],,
综合粒度回归_v1,case_066,portfolio,tensor_gate,8,1,0.85,,,,
综合粒度回归_v1,case_066,portfolio,task_route,,,,152,[],,
综合粒度回归_v1,case_066,portfolio,tensor_gate,8,1,0.85,,,,
综合粒度回归_v1,case_066,portfolio,task_route,,,,152,[],,
综合粒度回归_v1,case_066,portfolio,tensor_gate,8,1,0.85,,,,
综合粒度回归_v1,case_066,portfolio,task_route,,,,152,[],,
综合粒度回归_v1,case_050,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_050,portfolio_diverse,task_route,,,,97,[],,
综合粒度回归_v1,case_050,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_050,portfolio_diverse,task_route,,,,97,[],,
综合粒度回归_v1,case_050,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_050,portfolio_diverse,task_route,,,,97,[],,
综合粒度回归_v1,case_050,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_050,portfolio,task_route,,,,97,[],,
综合粒度回归_v1,case_050,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_050,portfolio,task_route,,,,97,[],,
综合粒度回归_v1,case_050,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_050,portfolio,task_route,,,,97,[],,
综合粒度回归_v1,case_068,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_068,portfolio_diverse,task_route,,,,83,"[8, 16]",,
综合粒度回归_v1,case_068,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_068,portfolio_diverse,task_route,,,,83,"[8, 16]",,
综合粒度回归_v1,case_068,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_068,portfolio_diverse,task_route,,,,83,"[8, 16]",,
综合粒度回归_v1,case_068,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_068,portfolio,task_route,,,,83,"[8, 16]",,
综合粒度回归_v1,case_068,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_068,portfolio,task_route,,,,83,"[8, 16]",,
综合粒度回归_v1,case_068,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_068,portfolio,task_route,,,,83,"[8, 16]",,
综合粒度回归_v1,case_071,portfolio_diverse,tensor_gate,5,0,0.85,,,,
综合粒度回归_v1,case_071,portfolio_diverse,task_route,,,,21,"[8, 16]",,
综合粒度回归_v1,case_071,portfolio_diverse,tensor_gate,5,0,0.85,,,,
综合粒度回归_v1,case_071,portfolio_diverse,task_route,,,,21,"[8, 16]",,
综合粒度回归_v1,case_071,portfolio_diverse,tensor_gate,5,0,0.85,,,,
综合粒度回归_v1,case_071,portfolio_diverse,task_route,,,,21,"[8, 16]",,
综合粒度回归_v1,case_071,portfolio,tensor_gate,5,0,0.85,,,,
综合粒度回归_v1,case_071,portfolio,task_route,,,,21,"[8, 16]",,
综合粒度回归_v1,case_071,portfolio,tensor_gate,5,0,0.85,,,,
综合粒度回归_v1,case_071,portfolio,task_route,,,,21,"[8, 16]",,
综合粒度回归_v1,case_071,portfolio,tensor_gate,5,0,0.85,,,,
综合粒度回归_v1,case_071,portfolio,task_route,,,,21,"[8, 16]",,
综合粒度回归_v1,case_024,portfolio_diverse,tensor_gate,4,4,0.85,,,,
综合粒度回归_v1,case_024,portfolio_diverse,task_route,,,,1313,"[8, 16]",,
综合粒度回归_v1,case_024,portfolio_diverse,tensor_gate,4,4,0.85,,,,
综合粒度回归_v1,case_024,portfolio_diverse,task_route,,,,1313,"[8, 16]",,
综合粒度回归_v1,case_024,portfolio_diverse,tensor_gate,4,4,0.85,,,,
综合粒度回归_v1,case_024,portfolio_diverse,task_route,,,,1313,"[8, 16]",,
综合粒度回归_v1,case_024,portfolio,tensor_gate,4,4,0.85,,,,
综合粒度回归_v1,case_024,portfolio,task_route,,,,1313,"[8, 16]",,
综合粒度回归_v1,case_024,portfolio,tensor_gate,4,4,0.85,,,,
综合粒度回归_v1,case_024,portfolio,task_route,,,,1313,"[8, 16]",,
综合粒度回归_v1,case_024,portfolio,tensor_gate,4,4,0.85,,,,
综合粒度回归_v1,case_024,portfolio,task_route,,,,1313,"[8, 16]",,
综合粒度回归_v1,case_023,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_023,portfolio_diverse,task_route,,,,10,[],,
综合粒度回归_v1,case_023,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_023,portfolio_diverse,task_route,,,,10,[],,
综合粒度回归_v1,case_023,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_023,portfolio_diverse,task_route,,,,10,[],,
综合粒度回归_v1,case_023,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_023,portfolio,task_route,,,,10,[],,
综合粒度回归_v1,case_023,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_023,portfolio,task_route,,,,10,[],,
综合粒度回归_v1,case_023,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_023,portfolio,task_route,,,,10,[],,
综合粒度回归_v1,case_015,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_015,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_015,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_015,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_015,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_015,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_015,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_015,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_015,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_015,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_015,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_015,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_048,portfolio_diverse,tensor_gate,8,7,0.85,,,,
综合粒度回归_v1,case_048,portfolio_diverse,task_route,,,,58,"[8, 16]",,
综合粒度回归_v1,case_048,portfolio_diverse,tensor_gate,8,7,0.85,,,,
综合粒度回归_v1,case_048,portfolio_diverse,task_route,,,,58,"[8, 16]",,
综合粒度回归_v1,case_048,portfolio_diverse,tensor_gate,8,7,0.85,,,,
综合粒度回归_v1,case_048,portfolio_diverse,task_route,,,,58,"[8, 16]",,
综合粒度回归_v1,case_048,portfolio,tensor_gate,8,7,0.85,,,,
综合粒度回归_v1,case_048,portfolio,task_route,,,,1,,,
综合粒度回归_v1,case_048,portfolio,tensor_gate,8,7,0.85,,,,
综合粒度回归_v1,case_048,portfolio,task_route,,,,1,,,
综合粒度回归_v1,case_048,portfolio,tensor_gate,8,7,0.85,,,,
综合粒度回归_v1,case_048,portfolio,task_route,,,,1,,,
综合粒度回归_v1,case_064,portfolio_diverse,tensor_gate,3,0,0.85,,,,
综合粒度回归_v1,case_064,portfolio_diverse,task_route,,,,46,[],,
综合粒度回归_v1,case_064,portfolio_diverse,tensor_gate,3,0,0.85,,,,
综合粒度回归_v1,case_064,portfolio_diverse,task_route,,,,46,[],,
综合粒度回归_v1,case_064,portfolio_diverse,tensor_gate,3,0,0.85,,,,
