case,compute_ops,all_ops,tensors,edges,compute_dependency_edges,copy_contracted_extra_edges,dependency_components,direct_dependency_components,touch_components,largest_component_ops,largest_component_fraction,largest_touch_component_fraction,singleton_components,largest_component_work_M_fraction,largest_component_work_V_fraction,dependency_layers,max_layer_width,root_compute_ops,sink_compute_ops,work_M,work_V,count_M,count_V,noncopy_other_pipe_ops,compute_critical_path,original_copy_in_bytes,original_copy_out_bytes,root_ddr_input_unique_bytes,root_ddr_input_count,max_root_ddr_input_bytes,max_all_tensor_bytes,shared_ddr_inputs_across_components,shared_ddr_inputs_across_touch_components,max_input_component_fanout,five_core_baseline_lb_M,five_core_baseline_lb_V,five_core_baseline_lb_DDR,five_core_baseline_lb_CP,five_core_whole_component_lb,whole_component_lb_over_baseline_lb,five_core_baseline_lb_dominant
case_011,688,880,1056,2448,672,0,16,16,1,43,0.0625,1.0,0,0.0625,0.0625,22,352,352,16,184448,25536,352,336,0,2120,540672,65536,540672,176,4096,4096,176,0,4,36889.6,5107.2,10103.466666666667,2120,36889.6,1.0,PIPE_M
case_012,972,1304,1555,3131,986,0,50,50,25,98,0.10082304526748971,0.18930041152263374,0,0.29461374114472055,0.12488755157117598,19,195,195,81,35572,32237,135,837,0,2506,484096,70802,484096,251,9216,9216,13,0,12,7114.4,6447.4,9248.3,2506,10480,1.1331812333077431,original_DDR
case_013,1968,3202,4190,8126,1722,0,246,246,1,8,0.0040650406504065045,1.0,0,0.0040650406504065045,0.0040650406504065045,4,984,984,246,263712,43296,984,984,0,400,2023424,503808,2023424,988,2048,2048,4,0,246,52742.4,8659.2,42120.53333333333,400,52742.4,1.0,PIPE_M
case_014,35705,38666,40287,108272,34509,0,1340,1340,3,124,0.0034729029547682397,0.8462680296877189,0,0.0020271978900422787,0.002002514193810917,124,15921,15921,1340,17225748,1651424,16215,19490,0,31968,9911640,21100,9911640,1621,165888,165888,1615,0,38,3445149.6,330284.8,165545.66666666666,31968,3445149.6,1.0,PIPE_M
case_015,1013,1290,1501,3107,1063,0,46,46,18,145,0.14313919052319843,0.36327739387956565,0,0.09917877447883765,0.2873976570736081,29,172,172,66,94980,101497,130,883,0,7913,884482,132,884482,211,32768,32768,10,0,11,18996.0,20299.4,14743.566666666668,7913,29170,1.4369882853680402,PIPE_V
case_016,17995,18008,18020,43019,21338,0,1,1,1,17995,1.0,1.0,0,0,1.0,2440,12,12,1,0,7714975,0,17995,0,655140,393216,2,393216,12,32768,32768,0,0,1,0.0,1542995.0,6553.633333333333,655140,7714975,5.0,PIPE_V
case_017,1373,1758,2015,4245,1428,0,60,60,30,162,0.11798980335032774,0.11798980335032774,0,0.06282097649186257,0.10300288681884467,18,233,233,128,110600,67202,110,1263,0,5980,535118,108744,535118,257,24576,24576,8,0,10,22120.0,13440.4,10731.033333333333,5980,22120.0,1.0,PIPE_M
case_018,2727,3285,3717,8718,2653,0,126,126,20,59,0.021635496883021636,0.7242390905757242,0,0.027731334678581725,0.03636089451881026,28,1084,1084,126,971320,112731,1092,1635,0,3539,1592596,252,1592596,432,8192,8192,232,0,20,194264.0,22546.2,26547.466666666667,3539,194264.0,1.0,PIPE_M
case_019,647,766,854,1841,694,0,31,31,17,170,0.26275115919629055,0.26275115919629055,0,0.4211743331406392,0.10303903068825107,79,57,57,31,48436,40276,129,518,0,12234,179252,7732,179252,88,8192,8192,4,0,11,9687.2,8055.2,3116.4,12234,20400,1.6674840608141246,compute_CP
case_020,7008,7584,7872,18048,8064,0,288,288,288,28,0.003995433789954338,0.003995433789954338,0,0,0.003995433789954338,24,576,288,288,0,532608,0,7008,0,1824,1179648,1179648,1179648,288,4096,4096,0,0,1,0.0,106521.6,39321.6,1824,106521.6,1.0,PIPE_V
case_021,3920,4450,4900,12820,3840,0,80,80,1,49,0.0125,1.0,0,0.0125,0.0125,7,2000,2000,80,6192000,783360,2000,1920,0,5544,2355200,983040,2355200,450,6144,12288,450,0,10,1238400.0,156672.0,55637.333333333336,5544,1238400.0,1.0,PIPE_M
case_022,1356,1567,1705,3720,1483,0,32,32,28,183,0.13495575221238937,0.13495575221238937,0,0.11953612845673506,0.13224989368979606,36,149,149,73,4484,54087,23,1333,0,1986,213540,146,213540,138,8192,8192,3,0,5,896.8,10817.4,3561.4333333333334,1986,10817.4,1.0,PIPE_V
case_023,1011,1202,1336,2869,1123,0,43,43,33,127,0.12561819980217606,0.13649851632047477,0,0.10595733939164458,0.09035624946088157,31,96,95,57,63384,69558,64,947,0,4218,434122,9322,434122,134,24576,24576,10,0,6,12676.8,13911.6,7390.733333333334,4218,13911.6,1.0,PIPE_V
case_024,5959,5972,5984,14255,7058,0,1,1,1,5959,1.0,1.0,0,0,1.0,808,12,12,1,0,2554795,0,5959,0,216948,393216,2,393216,12,32768,32768,0,0,1,0.0,510959.0,6553.633333333333,216948,2554795,5.0,PIPE_V
case_025,18662,23997,26666,63990,18662,0,2666,2666,1,7,0.00037509377344336085,1.0,0,0.00037509377344336085,0.00037509377344336085,6,5332,5332,2666,4702824,1215696,7998,10664,0,1632,4122624,4094976,4122624,2669,9216,9216,3,0,2666,940564.8,243139.2,136960.0,1632,940564.8,1.0,PIPE_M
case_026,636,769,871,1849,679,0,31,31,14,198,0.3113207547169811,0.3113207547169811,0,0.12012099921935987,0.5768709021026452,49,76,76,31,40992,70768,102,534,0,4319,488886,39968,488886,102,24576,24576,12,0,6,8198.4,14153.6,8814.233333333334,4319,40824,2.8843545105132264,PIPE_V
case_027,1424,1800,2160,5024,1408,0,16,16,1,89,0.0625,1.0,0,0.0625,0.0625,45,720,720,16,2229120,287232,720,704,0,21048,1843200,196608,1843200,360,6144,12288,360,0,4,445824.0,57446.4,33996.8,21048,445824.0,1.0,PIPE_M
case_028,19584,19944,20151,51822,23103,0,153,153,1,128,0.006535947712418301,1.0,0,0.006535947712418301,0.006535947712418301,124,306,153,153,38974608,1975536,8262,11322,0,246816,4028544,1880064,4028544,207,165888,165888,54,0,153,7794921.6,395107.2,98476.8,246816,7794921.6,1.0,PIPE_M
case_029,861,1113,1281,2772,924,0,21,21,21,41,0.047619047619047616,0.047619047619047616,0,0,0.047619047619047616,12,168,168,84,0,37485,0,861,0,407,258132,172032,258132,168,2048,2048,0,0,1,0.0,7497.0,7169.4,407,7497.0,1.0,PIPE_V
case_030,10070,11248,11940,30954,9584,0,486,486,2,57,0.005660377358490566,0.6631578947368421,0,0.007304212528093125,0.007066972779249893,12,4472,4472,486,2776480,406822,4472,5598,0,1494,2393088,972,2393088,692,4608,6144,596,0,22,555296.0,81364.4,39901.0,1494,555296.0,1.0,PIPE_M
case_031,6135,6805,7365,18435,7166,0,107,107,27,2147,0.34995925020374896,0.5390383048084759,0,0.04119320310650045,0.2605316140708065,136,1659,1659,110,1334492,221025,2122,4013,0,13057,2184820,220,2184820,560,13824,13824,377,0,10,266898.4,44205.0,36417.333333333336,13057,266898.4,1.0,PIPE_M
case_032,827,1035,1186,2469,870,0,25,25,14,189,0.22853688029020555,0.22853688029020555,0,0.15842364532019704,0.2797470216208266,30,137,137,57,10150,33995,48,779,0,1146,279156,13932,279156,151,4608,4608,4,0,10,2030.0,6799.0,4884.8,1146,9510,1.398735108104133,PIPE_V
case_033,3465,4069,4572,11073,3437,0,95,95,16,64,0.01847041847041847,0.8608946608946609,0,0.021762528730843212,0.018313702210974683,34,1439,1439,101,1728108,192042,1413,2052,0,6300,2889776,83134,2889776,503,13824,13824,385,0,24,345621.6,38408.4,49548.5,6300,345621.6,1.0,PIPE_M
case_034,3745,4545,5144,11907,3691,0,155,155,26,94,0.025100133511348464,0.31535380507343125,0,0.013535159378503924,0.05898766901249513,24,1374,1374,201,749160,194956,1262,2483,0,3677,2279984,402,2279984,599,8192,8192,378,0,14,149832.0,38991.2,38006.433333333334,3677,149832.0,1.0,PIPE_M
case_035,3857,4237,4538,10712,5067,0,16,16,14,2430,0.6300233341975628,0.6300233341975628,0,0.7311551324929252,0.5408556796308779,333,224,224,79,62192,143909,516,3341,0,17200,396878,13976,396878,301,8192,8192,1,0,3,12438.4,28781.8,6847.566666666667,17200,77834,2.7042783981543894,PIPE_V
case_036,2400,4001,4802,9602,1600,0,800,800,1,3,0.00125,1.0,0,0.00125,0.00125,3,800,800,800,931200,121600,800,1600,0,1316,3277952,3276800,3277952,801,4096,4096,1,0,800,186240.0,24320.0,109245.86666666667,1316,186240.0,1.0,PIPE_M
case_037,780,980,1160,2740,760,0,20,20,1,39,0.05,1.0,0,0.05,0.05,6,400,400,20,209600,28880,400,380,0,904,532480,81920,532480,180,4096,4096,180,0,5,41920.0,5776.0,10240.0,904,41920.0,1.0,PIPE_M
case_038,5907,6843,7649,18941,5855,0,130,130,21,116,0.019637717961740308,0.4834941594718131,0,0.020169056603773584,0.016867728399771124,36,2594,2594,130,1325000,167776,2630,3277,0,8754,2794506,8444,2794506,806,32768,32768,739,0,10,265000.0,33555.2,46715.833333333336,8754,265000.0,1.0,PIPE_M
case_039,5250,5966,6612,17182,5180,0,70,70,1,75,0.014285714285714285,1.0,0,0.014285714285714285,0.014285714285714285,8,2660,2660,70,1377880,98420,2660,2590,0,784,4202496,286720,4202496,646,8192,8192,646,0,10,275576.0,19684.0,74820.26666666666,784,275576.0,1.0,PIPE_M
case_040,3083,3381,3647,8621,4149,0,28,28,7,2194,0.7116445021083361,0.7116445021083361,0,0.648376379809238,0.5063606656222578,229,196,196,32,111972,185751,571,2512,0,16120,911174,64,911174,266,16384,16384,9,0,20,22394.4,37150.2,15187.3,16120,94057,2.531803328111289,PIPE_V
case_041,16594,18149,19210,51024,16140,0,494,494,3,182,0.010967819693865252,0.978546462576835,0,0.004895474993384493,0.01923488276429453,49,7574,7574,494,5895240,607750,7558,9036,0,1767,4948992,988,4948992,1061,6144,6144,1045,0,20,1179048.0,121550.0,82499.66666666667,1767,1179048.0,1.0,PIPE_M
case_042,4733,5345,5853,14855,4687,0,104,104,10,258,0.054510881047961125,0.8837946334248891,0,0.024389084696412176,0.2495022696503942,53,2057,2057,104,1599076,226026,2083,2650,0,5685,2364192,24772,2364192,508,18432,18432,454,0,12,319815.2,45205.2,39816.066666666666,5685,319815.2,1.0,PIPE_M
case_043,9309,9756,10140,25867,13402,0,38,38,11,4910,0.5274465570952841,0.6316467934257171,0,0.4013813563250359,0.4775666659880584,202,547,547,63,517752,343841,1968,7341,0,27474,1430996,126,1430996,384,16384,16384,165,0,6,103550.4,68768.2,23852.033333333333,27474,207816,2.0069067816251795,PIPE_M
case_044,1364,1436,1497,3686,1617,0,11,11,1,124,0.09090909090909091,1.0,0,0.09090909090909091,0.09090909090909091,124,11,11,11,74404,9988,550,814,0,7672,952928,22528,952928,61,73728,73728,50,0,11,14880.8,1997.6,16257.6,7672,16257.6,1.0,original_DDR
case_045,1651,1787,1855,4253,1900,0,68,68,68,28,0.016959418534221685,0.016959418534221685,0,0,0.016959418534221685,24,136,68,68,0,125476,0,1651,0,1824,278528,278528,278528,68,4096,4096,0,0,1,0.0,25095.2,9284.266666666666,1824,25095.2,1.0,PIPE_V
case_046,992,1058,1116,2708,1176,0,8,8,1,124,0.125,1.0,0,0.125,0.125,124,8,8,8,209248,18400,400,592,0,28456,995936,65536,995936,58,73728,73728,50,0,8,41849.6,3680.0,17691.2,28456,41849.6,1.0,PIPE_M
case_047,13710,13988,14259,37206,20909,0,1,1,1,13710,1.0,1.0,0,1.0,1.0,460,196,67,7,153760,259370,2720,10990,0,19990,457286,6656,457286,271,4096,4096,0,0,1,30752.0,51874.0,7732.366666666667,19990,259370,5.0,PIPE_V
case_048,1728,1900,2069,4961,2448,0,1,1,1,1728,1.0,1.0,0,1.0,1.0,369,57,57,3,139536,120060,378,1350,0,75960,410182,4608,410182,169,4096,4096,0,0,1,27907.2,24012.0,6913.166666666667,75960,139536,1.8369668246445499,compute_CP
case_049,4303,4465,4609,11684,6323,0,11,11,11,3952,0.918429003021148,0.918429003021148,0,0.8562809017011649,0.8563618260266119,186,134,60,18,95464,165715,794,3509,0,8921,152504,36,152504,144,3072,8192,0,0,1,19092.8,33143.0,2542.3333333333335,8921,141912,4.28180913013306,PIPE_V
case_050,4555,4781,4969,12462,6605,0,23,23,12,4011,0.8805708013172339,0.9222832052689353,0,0.8734605911330049,0.7176244837382225,186,134,108,38,51968,133411,781,3774,0,6829,319300,76,319300,188,8192,8192,3,0,12,10393.6,26682.2,5322.933333333333,6829,95739,3.5881224186911123,PIPE_V
case_051,1416,1429,1441,3398,1668,0,1,1,1,1416,1.0,1.0,0,0,1.0,192,12,12,1,0,607080,0,1416,0,51552,393216,2,393216,12,32768,32768,0,0,1,0.0,121416.0,6553.633333333333,51552,607080,5.0,PIPE_V
case_052,1008,1347,1606,3272,1034,0,52,52,25,120,0.11904761904761904,0.20634920634920634,0,0.043327115482448705,0.07987858455148175,17,218,218,80,141528,62595,174,834,0,3665,810044,160,810044,259,13824,13824,17,0,12,28305.6,12519.0,13503.4,3665,28305.6,1.0,PIPE_M
case_053,11670,12046,12377,31833,17160,0,39,39,3,9853,0.8443016281062553,0.8443016281062553,0,0.28816896809336984,0.7755757448935701,241,318,133,45,1212726,344076,2728,8942,0,56912,2896918,98370,2896918,331,73728,73728,60,0,21,242545.2,68815.2,49921.46666666667,56912,349470,1.440844840466849,PIPE_M
case_054,15751,16133,16484,42855,23976,0,24,24,1,15390,0.97708082026538,1.0,0,0.4833999749223289,0.9451269878730666,354,324,201,31,574216,440672,3090,12661,0,20291,1606214,62,1606214,351,8192,8192,6,0,24,114843.2,88134.4,26771.266666666666,20291,416491,3.6266056675536733,PIPE_M
case_055,1236,1468,1641,3467,1288,0,24,24,15,183,0.14805825242718446,0.14805825242718446,0,0.2035083176904654,0.13258700343234514,28,200,200,59,61796,69049,91,1145,0,6962,625692,118,625692,173,13824,13824,5,0,6,12359.2,13809.8,10430.166666666666,6962,13809.8,1.0,PIPE_V
case_056,7678,7936,8157,20894,11483,0,19,19,19,7464,0.9721281583745767,0.9721281583745767,0,0.9602491298772668,0.9687704561440601,300,162,89,37,131016,245953,1372,6306,0,13737,221526,74,221526,221,4096,4096,0,0,1,26203.2,49190.6,3693.3333333333335,13737,238272,4.8438522807203,PIPE_V
case_057,865,1053,1180,2563,904,0,21,21,12,193,0.223121387283237,0.223121387283237,0,0.7168254871284312,0.2722379901187848,101,126,126,61,14062,47565,99,766,0,8189,336588,5872,336588,127,4608,4608,4,0,6,2812.4,9513.0,5707.666666666667,8189,12949,1.361189950593924,PIPE_V
case_058,16575,17886,18942,52347,16320,0,255,255,1,65,0.00392156862745098,1.0,0,0.00392156862745098,0.00392156862745098,7,8415,8415,255,4358970,310080,8415,8160,0,746,6623232,1044480,6623232,1056,8192,8192,1056,0,17,871794.0,62016.0,127795.2,746,871794.0,1.0,PIPE_M
case_059,2752,3168,3520,9088,2688,0,64,64,1,43,0.015625,1.0,0,0.015625,0.015625,22,1408,1408,64,737792,102144,1408,1344,0,2120,1081344,262144,1081344,352,4096,4096,352,0,8,147558.4,20428.8,22391.466666666667,2120,147558.4,1.0,PIPE_M
case_060,5281,6086,6752,16435,5384,0,89,89,25,183,0.03465252793031623,0.744745313387616,0,0.03298937009185929,0.06854598430205565,41,1977,1977,139,720232,273539,1835,3446,0,4252,2098728,278,2098728,666,8192,8192,513,0,12,144046.4,54707.8,34983.433333333334,4252,144046.4,1.0,PIPE_M
case_061,1115,1450,1709,3505,1122,0,40,40,13,167,0.14977578475336323,0.15695067264573992,0,0.27866099417823553,0.12001305672421297,45,232,232,76,71456,27572,202,913,0,11506,544036,152,544036,259,8192,8192,14,0,12,14291.2,5514.4,9069.8,11506,19912,1.3933049708911778,PIPE_M
case_062,19636,23999,28361,58906,19635,0,1,1,1,19636,1.0,1.0,0,1.0,1.0,28,2181,2181,1,2618400,392688,8728,10908,0,3120,13400064,1536,13400064,4362,4608,4608,0,0,1,523680.0,78537.6,223360.0,3120,2618400,5.0,PIPE_M
case_063,7360,8995,10629,22078,7359,0,1,1,1,7360,1.0,1.0,0,1.0,1.0,26,817,817,1,981600,147168,3272,4088,0,3048,5019648,1536,5019648,1634,4608,4608,0,0,1,196320.0,29433.6,83686.4,3048,981600,5.0,PIPE_M
case_064,906,972,1034,2550,1308,0,1,1,1,906,1.0,1.0,0,1.0,1.0,123,32,22,4,7308,15744,186,720,0,3528,35622,1792,35622,62,1024,1024,0,0,1,1461.6,3148.8,623.5666666666667,3528,15744,4.462585034013605,compute_CP
case_065,704,914,1067,2164,741,0,42,42,27,61,0.08664772727272728,0.13068181818181818,0,0.10290162774239207,0.08923368791923572,28,98,98,57,28260,29518,67,637,0,1265,299720,16482,299720,153,4608,4608,4,0,9,5652.0,5903.6,5270.033333333334,1265,5903.6,1.0,PIPE_V
case_066,5962,6181,6362,16324,8887,0,28,28,4,3675,0.6164038913116404,0.6385441127138544,0,0.7523192952012281,0.5284474728004547,154,192,87,38,269694,170683,1175,4787,0,32240,1027116,79918,1027116,181,36864,36864,8,0,11,53938.8,34136.6,18450.566666666666,32240,202896,3.76159647600614,PIPE_M
case_067,8804,8996,9117,23246,10437,0,71,71,1,124,0.014084507042253521,1.0,0,0.014084507042253521,0.014084507042253521,124,71,71,71,58915232,2360608,3550,5254,0,863040,4884864,1163264,4884864,121,294912,294912,50,0,71,11783046.4,472121.6,100802.13333333333,863040,11783046.4,1.0,PIPE_M
case_068,5351,5853,6260,15148,7491,0,32,32,24,4176,0.7804148757241637,0.7804148757241637,0,0.9463149485550038,0.6799400113771527,264,220,220,95,249101,154696,1010,4341,0,48319,2739974,31276,2739974,407,36864,36864,1,0,9,49820.2,30939.2,46187.5,48319,235728,4.731574742775019,PIPE_M
case_069,1032,1074,1110,2844,1548,0,1,1,1,1032,1.0,1.0,0,1.0,1.0,46,144,12,6,16674,15288,210,822,0,2298,113766,12288,113766,36,9216,9216,0,0,1,3334.8,3057.6,2100.9,2298,16674,5.0,PIPE_M
case_070,1191,1437,1630,3424,1237,0,38,38,11,285,0.23929471032745592,0.2837951301427372,0,0.10114121439149752,0.2294870165628839,35,213,213,53,91832,47214,162,1029,0,4054,419858,106,419858,193,24576,24576,16,0,11,18366.4,9442.8,6999.4,4054,18366.4,1.0,PIPE_M
case_071,741,781,816,2063,1100,0,1,1,1,741,1.0,1.0,0,1.0,1.0,46,100,11,5,12534,10954,156,585,0,2298,111462,9984,111462,35,9216,9216,0,0,1,2506.8,2190.8,2024.1,2298,12534,5.0,PIPE_M
case_072,29666,31387,32624,88639,32401,0,476,476,2,6140,0.2069709431672622,0.9874603923683678,0,0.006280940753295935,0.08426418701802307,251,11082,11082,484,22928094,1708199,12300,17366,0,31968,11093006,10178,11093006,1237,165888,165888,1131,0,32,4585618.8,341639.8,185053.06666666668,31968,4585618.8,1.0,PIPE_M
case_073,4836,4964,5053,12814,5733,0,39,39,1,124,0.02564102564102564,1.0,0,0.02564102564102564,0.02564102564102564,124,39,39,39,8160672,428064,1950,2886,0,220224,3881344,159744,3881344,89,294912,294912,50,0,39,1632134.4,85612.8,67351.46666666666,220224,1632134.4,1.0,PIPE_M
case_074,3609,4269,4833,11541,3597,0,73,73,6,269,0.07453588251593239,0.7658631199778332,0,0.03410863707275564,0.16227698820683398,39,1474,1474,96,1579424,198420,1400,2209,0,3091,3776536,192,3776536,564,8192,8192,370,0,21,315884.8,39684.0,62945.46666666667,3091,315884.8,1.0,PIPE_M
case_075,7410,7684,7953,20378,11135,0,1,1,1,7410,1.0,1.0,0,1.0,1.0,460,105,65,5,1107520,644660,1560,5850,0,182300,1819782,17408,1819782,269,16384,16384,0,0,1,221504.0,128932.0,30619.833333333332,182300,1107520,5.0,PIPE_M
case_076,32528,35076,36815,99916,31730,0,809,809,3,122,0.003750614854894245,0.9884714707329071,0,0.003789071083686208,0.0037582554938094355,13,15270,15270,809,6061644,947248,15281,17247,0,2774,4269056,1618,4269056,1739,16384,16384,1644,0,34,1212328.8,189449.6,71177.9,2774,1212328.8,1.0,PIPE_M
case_077,4486,4872,5208,12652,6316,0,41,41,21,2096,0.4672313865358894,0.4672313865358894,0,0.1984997809372036,0.38373624443924137,135,213,213,50,415406,136672,920,3566,0,15619,2141260,100,2141260,336,20736,20736,7,0,21,83081.2,27334.4,35689.333333333336,15619,83081.2,1.0,PIPE_M
case_078,1024,1094,1156,2812,1208,0,8,8,1,128,0.125,1.0,0,0.125,0.125,124,16,8,8,2037888,103296,432,592,0,246816,2246784,98304,2246784,62,165888,165888,54,0,8,407577.6,20659.2,39084.8,246816,407577.6,1.0,PIPE_M
case_079,18720,20130,21252,58980,18432,0,288,288,1,65,0.003472222222222222,1.0,0,0.003472222222222222,0.003472222222222222,8,9504,9504,288,29424384,3760128,9504,9216,0,5952,5812224,3538944,5812224,1122,6144,12288,1122,0,18,5884876.8,752025.6,155852.8,5952,5884876.8,1.0,PIPE_M
case_080,1098,1395,1674,3888,1080,0,18,18,1,61,0.05555555555555555,1.0,0,0.05555555555555555,0.05555555555555555,7,558,558,18,289044,20520,558,540,0,746,1904640,73728,1904640,279,8192,8192,279,0,6,57808.8,4104.0,32972.8,746,57808.8,1.0,PIPE_M
case_081,3485,4505,5185,11220,3740,0,85,85,85,41,0.011764705882352941,0.011764705882352941,0,0,0.011764705882352941,12,680,680,340,0,151725,0,3485,0,407,1044820,696320,1044820,680,2048,2048,0,0,1,0.0,30345.0,29019.0,407,30345.0,1.0,PIPE_V
case_082,4113,4209,4298,11187,6258,0,1,1,1,4113,1.0,1.0,0,1.0,1.0,138,196,25,7,567936,359766,816,3297,0,54690,566406,25600,566406,89,16384,16384,0,0,1,113587.2,71953.2,9866.766666666666,54690,567936,5.0,PIPE_M
case_083,3844,3956,4037,10206,4557,0,31,31,1,124,0.03225806451612903,1.0,0,0.03225806451612903,0.03225806451612903,124,31,31,31,810836,71300,1550,2294,0,28456,1184352,253952,1184352,81,73728,73728,50,0,31,162167.2,14260.0,23971.733333333334,28456,162167.2,1.0,PIPE_M
case_084,8616,14001,18309,33387,9693,0,1077,1077,1077,8,0.0009285051067780873,0.0009285051067780873,0,0.0009285051067780873,0.0009285051067780873,8,1077,1077,1077,1266552,1240704,2154,6462,0,2328,9927786,3308544,9927786,4308,3072,4608,0,0,1,253310.4,248140.8,220605.5,2328,253310.4,1.0,PIPE_M
case_085,19737,19993,20240,53243,30348,0,1,1,1,19737,1.0,1.0,0,1.0,1.0,450,324,63,9,2565216,1724706,3780,15957,0,165564,1655942,33792,1655942,247,16384,16384,0,0,1,513043.2,344941.2,28162.233333333334,165564,2565216,5.0,PIPE_M
case_086,5274,5372,5462,14290,8064,0,1,1,1,5274,1.0,1.0,0,1.0,1.0,138,256,26,8,79182,78060,1026,4248,0,6894,321126,16896,321126,90,9216,9216,0,0,1,15836.4,15612.0,5633.7,6894,79182,5.0,PIPE_M
case_087,27556,28666,29569,77339,38493,0,196,196,4,12693,0.4606256350704021,0.4606256350704021,0,0.15101522842639595,0.3935911842534527,382,3066,3066,207,3593280,882784,7288,20268,0,82063,5918684,414,5918684,903,36864,36864,435,0,18,718656.0,176556.8,98651.63333333333,82063,718656.0,1.0,PIPE_M
case_088,3309,3577,3811,9270,4731,0,31,31,28,2798,0.8455726805681475,0.8455726805681475,0,0.9057186304778582,0.7063783285210138,176,100,70,34,173608,99744,690,2619,0,32229,1829730,68,1829730,234,36864,36864,3,0,4,34721.6,19948.8,30496.633333333335,32229,157240,4.528593152389291,PIPE_M
case_089,5120,5254,5348,13628,6040,0,40,40,1,128,0.025,1.0,0,0.025,0.025,124,80,40,40,589120,109760,2160,2960,0,16272,402560,163840,402560,94,18432,18432,54,0,40,117824.0,21952.0,9440.0,16272,117824.0,1.0,PIPE_M
case_090,1664,1744,1811,4502,1963,0,13,13,1,128,0.07692307692307693,1.0,0,0.07692307692307693,0.07692307692307693,124,26,13,13,840528,59280,702,962,0,63936,2188416,39936,2188416,67,165888,165888,54,0,13,168105.6,11856.0,37139.2,63936,168105.6,1.0,PIPE_M
