case,largest_component_ops,largest_component_fraction,dependency_layers,work_M,work_V,original_copy_bytes,shared_input_bytes,max_input_component_fanout,compute_ops,tensors,dependency_components,largest_pipe_component_fraction,layer_fraction,dependency_edges_per_op,work_M_fraction,count_M_fraction,shared_input_byte_fraction,extra_component_read_fanout_bytes_ratio,root_ddr_input_unique_bytes,original_copy_to_compute_5core_ratio
case_014,124,0.0034729029547682397,124,17225748,1651424,9932740,9893208,38,35705,40287,1340,0.0020271978900422787,0.0034729029547682397,0.9665032908556225,0.9125174046197174,0.45413807589973393,0.998140368294248,16.73846023463322,9911640,0.04805180787117827
case_015,145,0.14313919052319843,29,94980,101497,884614,109824,11,1013,1501,46,0.2873976570736081,0.028627838104639685,1.0493583415597236,0.4834153615944869,0.12833168805528133,0.12416759187863631,1.0193898801784547,884482,0.7263055394083897
case_016,17995,1.0,2440,0,7714975,393218,0,1,17995,18020,1,1,0.13559322033898305,1.1857738260627952,0,0,0,0,393216,0.004247345800429252
case_017,162,0.11798980335032774,18,110600,67202,643862,87552,10,1373,2015,60,0.10300288681884467,0.013109978150036417,1.0400582665695557,0.622040247016344,0.08011653313911143,0.16361251163294824,1.1000788611110073,535118,0.4851280892103677
case_018,59,0.021635496883021636,28,971320,112731,1592848,1299456,20,2727,3717,126,0.03636089451881026,0.010267693436010267,0.9728639530619728,0.8960095050878603,0.4004400440044004,0.8159357426491087,6.344720192691681,1592596,0.13665664593885984
case_019,170,0.26275115919629055,79,48436,40276,186984,27168,11,647,854,31,0.4211743331406392,0.12210200927357033,1.0726429675425038,0.5459915231310307,0.19938176197836166,0.15156316247517462,1.4288710865150738,179252,0.3217028656371294
case_020,28,0.003995433789954338,24,0,532608,2359296,0,1,7008,7872,288,0.003995433789954338,0.003424657534246575,1.1506849315068493,0,0,0,0,1179648,0.3691420331651045
case_021,49,0.0125,7,6192000,783360,3338240,2355200,10,3920,4900,80,0.0125,0.0017857142857142857,0.9795918367346939,0.8876961189099918,0.5102040816326531,1,7.695652173913044,2355200,0.04492678725236865
case_022,183,0.13495575221238937,36,4484,54087,213686,6912,5,1356,1705,32,0.13224989368979606,0.02654867256637168,1.0936578171091444,0.07655665773164194,0.01696165191740413,0.0323686428772127,0.1294745715088508,213540,0.32923191648023864
case_023,127,0.12561819980217606,31,63384,69558,443444,133536,6,1011,1336,43,0.10595733939164458,0.03066271018793274,1.1107814045499504,0.4767793473845737,0.06330365974282888,0.3076001676947955,0.9882567573170675,434122,0.5312640769813202
case_024,5959,1.0,808,0,2554795,393218,0,1,5959,5984,1,1,0.13559322033898305,1.184426917267998,0,0,0,0,393216,0.012826143258721999
case_025,7,0.00037509377344336085,6,4702824,1215696,8217600,27648,2666,18662,26666,2666,0.00037509377344336085,0.00032150894866573784,1,0.7945945945945946,0.42857142857142855,0.0067064083457526085,17.872578241430702,4122624,0.14561463495125482
case_026,198,0.3113207547169811,49,40992,70768,528854,95664,6,636,871,31,0.5768709021026452,0.0770440251572327,1.0676100628930818,0.3667859699355762,0.16037735849056603,0.19567751991261767,0.4456499061130816,488886,0.622755576908584
case_027,89,0.0625,45,2229120,287232,2039808,1843200,4,1424,2160,16,0.0625,0.03160112359550562,0.9887640449438202,0.8858538074164505,0.5056179775280899,1,3,1843200,0.07625610106230261
case_028,128,0.006535947712418301,124,38974608,1975536,5908608,2148480,153,19584,20151,153,0.006535947712418301,0.006331699346405229,1.1796875,0.9517575322812052,0.421875,0.5333142693737489,81.06376894480984,4028544,0.012633456120969838
case_029,41,0.047619047619047616,12,0,37485,430164,0,1,861,1281,21,0.047619047619047616,0.013937282229965157,1.0731707317073171,0,0,0,0,258132,0.9563025210084034
case_030,57,0.005660377358490566,12,2776480,406822,2394060,1950720,22,10070,11940,486,0.007304212528093125,0.0011916583912611719,0.9517378351539225,0.8722012551746583,0.44409136047666337,0.8151476251604621,11.25545571245186,2393088,0.07185537082925143
case_031,2147,0.34995925020374896,136,1334492,221025,2185040,1731072,10,6135,7365,107,0.2605316140708065,0.022167889160554198,1.1680521597392013,0.8579089781725304,0.3458842705786471,0.79231790261898,6.079124138372955,2184820,0.13644642805402105
case_032,189,0.22853688029020555,30,10150,33995,293088,6216,10,827,1186,25,0.2797470216208266,0.036275695284159616,1.0519951632406288,0.22992411371616264,0.05804111245465538,0.02226711946008683,0.19859863302239608,279156,0.7184585968524783
case_033,64,0.01847041847041847,34,1728108,192042,2972910,2077728,24,3465,4572,95,0.021762528730843212,0.009812409812409812,0.9919191919191919,0.899985938598547,0.4077922077922078,0.7189927523794232,4.438500423562242,2889776,0.14336054228092227
case_034,94,0.025100133511348464,24,749160,194956,2280386,1238528,14,3745,5144,155,0.05898766901249513,0.006408544726301735,0.9855807743658211,0.7935041880446895,0.3369826435246996,0.543217847142787,2.934364451680363,2279984,0.25366032178261877
case_035,2430,0.6300233341975628,333,62192,143909,410854,4608,3,3857,4538,16,0.7311551324929252,0.08633653098262899,1.313715322789733,0.30175496479881225,0.13378273269380347,0.011610620896094014,0.023221241792188027,396878,0.23791307933022487
case_036,3,0.00125,3,931200,121600,6554752,1152,800,2400,4802,800,0.00125,0.00125,0.6666666666666666,0.8844984802431611,0.3333333333333333,0.00035143894724510915,0.2807997188488422,3277952,0.5865864833906071
case_037,39,0.05,6,209600,28880,614400,532480,5,780,1160,20,0.05,0.007692307692307693,0.9743589743589743,0.8788996980878899,0.5128205128205128,1,3.6153846153846154,532480,0.24427480916030533
case_038,116,0.019637717961740308,36,1325000,167776,2802950,2591232,10,5907,7649,130,0.020169056603773584,0.006094464195022855,0.9911968850516336,0.8876080537200491,0.4452344675808363,0.9272594154387216,5.603680936809583,2794506,0.17628616352201257
case_039,75,0.014285714285714285,8,1377880,98420,4489216,4202496,10,5250,6612,70,0.014285714285714285,0.0015238095238095239,0.9866666666666667,0.9333333333333333,0.5066666666666667,1,6.777777777777778,4202496,0.271505017369679
case_040,2194,0.7116445021083361,229,111972,185751,911238,53760,20,3083,3647,28,0.648376379809238,0.07427830035679533,1.3457671099578332,0.376094557692889,0.18520921180668182,0.05900080555415321,0.3472618841187303,911174,0.4088080279513973
case_041,182,0.010967819693865252,49,5895240,607750,4949980,4893696,20,16594,19210,494,0.01923488276429453,0.0029528745329637216,0.9726407135109075,0.9065429902244967,0.45546583102326144,0.9888268156424581,13.085661080074487,4948992,0.06997142327256115
case_042,258,0.054510881047961125,53,1599076,226026,2388964,2052384,12,4733,5853,104,0.2495022696503942,0.011197971688147053,0.9902810057046271,0.8761570586191895,0.44010141559264737,0.8681122345393267,7.209607341535713,2364192,0.1244971054117086
case_043,4910,0.5274465570952841,202,517752,343841,1431122,506880,6,9309,10140,38,0.4775666659880584,0.021699430658502526,1.4396820281448062,0.6009241022153151,0.21140831453432163,0.35421482659630077,1.5778660457471578,1430996,0.23034226167483016
case_044,124,0.09090909090909091,124,74404,9988,975456,930400,11,1364,1497,11,0.09090909090909091,0.09090909090909091,1.185483870967742,0.8816475495307612,0.4032258064516129,0.9763591792874173,9.763591792874173,952928,1.092521907424332
case_045,28,0.016959418534221685,24,0,125476,557056,0,1,1651,1855,68,0.016959418534221685,0.014536644457904301,1.150817686250757,0,0,0,0,278528,0.3699618519345001
case_046,124,0.125,124,209248,18400,1061472,930400,8,992,1116,8,0.125,0.125,1.185483870967742,0.9191734607815575,0.4032258064516129,0.9341965748803136,6.539376024162195,995936,0.422732833766631
case_047,13710,1.0,460,153760,259370,463942,0,1,13710,14259,1,1,0.03355215171407731,1.52509117432531,0.3721830900685014,0.19839533187454414,0,0,457286,0.1490605441390035
case_048,1728,1.0,369,139536,120060,414790,0,1,1728,2069,1,1,0.21354166666666666,1.4166666666666667,0.5375121342393565,0.21875,0,0,410182,0.24771982379696517
case_049,3952,0.918429003021148,186,95464,165715,152540,0,1,4303,4609,11,0.8563618260266119,0.043225656518707876,1.469439925633279,0.3655117754490215,0.18452242621426912,0,0,152504,0.07670800269539069
case_050,4011,0.8805708013172339,186,51968,133411,319376,3456,12,4555,4969,23,0.8734605911330049,0.040834248079034026,1.4500548847420418,0.28033380264215474,0.17145993413830954,0.010823676792984654,0.1190604447228312,319300,0.19949379486449142
case_051,1416,1.0,192,0,607080,393218,0,1,1416,1441,1,1,0.13559322033898305,1.1779661016949152,0,0,0,0,393216,0.05397668621378841
case_052,120,0.11904761904761904,17,141528,62595,810204,102912,12,1008,1606,52,0.07987858455148175,0.016865079365079364,1.0257936507936507,0.6933466586322953,0.17261904761904762,0.12704495064465635,1.0542834710213271,810044,0.4770575433836414
case_053,9853,0.8443016281062553,241,1212726,344076,2995288,1034752,21,11670,12377,39,0.7755757448935701,0.020651242502142245,1.4704370179948587,0.7789853815706814,0.2337617823479006,0.35719064191668526,3.890921317068692,2896918,0.2058233544373035
case_054,15390,0.97708082026538,354,574216,440672,1606276,49152,24,15751,16484,24,0.9451269878730666,0.022474763507078915,1.5221890673608025,0.5657924815349082,0.19617802044314647,0.03060115277291818,0.7038265137771181,1606214,0.23311146560411644
case_055,183,0.14805825242718446,28,61796,69049,625810,57856,6,1236,1641,24,0.2035083176904654,0.022653721682847898,1.0420711974110033,0.4722840001528526,0.07362459546925566,0.09246722029369082,0.39605428869156073,625692,0.7552728255779712
case_056,7464,0.9721281583745767,300,131016,245953,221600,0,1,7678,8157,19,0.9687704561440601,0.03907267517582704,1.495571763480073,0.3475511248935589,0.17869236780411565,0,0,221526,0.07508209563073703
case_057,193,0.223121387283237,101,14062,47565,342460,14112,6,865,1180,21,0.7168254871284312,0.11676300578034682,1.045086705202312,0.22817920716569037,0.11445086705202312,0.041926628400299475,0.20877749652394026,336588,0.5999859840919444
case_058,65,0.00392156862745098,7,4358970,310080,7667712,6623232,17,16575,18942,255,0.00392156862745098,0.0004223227752639517,0.9846153846153847,0.933588203167668,0.5076923076923077,1,14.612244897959183,6623232,0.14658875835346424
case_059,43,0.015625,22,737792,102144,1343488,1081344,8,2752,3520,64,0.015625,0.007994186046511628,0.9767441860465116,0.8783907345321549,0.5116279069767442,1,7,1081344,0.15174647235715938
case_060,183,0.03465252793031623,41,720232,273539,2099006,1208448,12,5281,6752,89,0.06854598430205565,0.007763681120999811,1.0195038818405604,0.7247464456097028,0.34747206968377203,0.5758001989776664,3.859892277608151,2098728,0.24286225364419614
case_061,167,0.14977578475336323,45,71456,27572,544188,34560,12,1115,1709,40,0.27866099417823553,0.04035874439461883,1.0062780269058296,0.7215736963283111,0.18116591928251122,0.0635252078906543,0.5110250056981523,544036,0.6346422973578146
case_062,19636,1.0,28,2618400,392688,13401600,0,1,19636,28361,1,1,0.001425952332450601,0.9999490731309839,0.8695860101066458,0.44448971277245874,0,0,13400064,0.4265200122212038
case_063,7360,1.0,26,981600,147168,5021184,0,1,7360,10629,1,1,0.003532608695652174,0.9998641304347826,0.8696206837897602,0.44456521739130433,0,0,5019648,0.42627546862265686
case_064,906,1.0,123,7308,15744,37414,0,1,906,1034,1,1,0.1357615894039735,1.4437086092715232,0.3170223841749089,0.2052980132450331,0,0,35622,0.19803311314363142
case_065,61,0.08664772727272728,28,28260,29518,316202,13968,9,704,1067,42,0.10290162774239207,0.03977272727272727,1.0525568181818181,0.48911350340960225,0.09517045454545454,0.0466034965968237,0.37234752435606566,299720,0.8926813018045486
case_066,3675,0.6164038913116404,154,269694,170683,1107034,20784,11,5962,6362,28,0.7523192952012281,0.025830258302583026,1.4906071787990607,0.6124161797732397,0.19708151626970816,0.020235299615622773,0.08879230778217845,1027116,0.3420648339723291
case_067,124,0.014084507042253521,124,58915232,2360608,6048128,3721600,71,8804,9117,71,0.014084507042253521,0.014084507042253521,1.185483870967742,0.9614757137560253,0.4032258064516129,0.7618635851479182,53.33045096035427,4884864,0.008554844809346871
case_068,4176,0.7804148757241637,264,249101,154696,2771250,648,9,5351,6260,32,0.9463149485550038,0.04933657260325173,1.3999252476172679,0.6168966089396405,0.18874976639880398,0.0002364985945122107,0.0018919887560976856,2739974,0.9270837933207815
case_069,1032,1.0,46,16674,15288,126054,0,1,1032,1110,1,1,0.044573643410852716,1.5,0.5216819973718791,0.20348837209302326,0,0,113766,0.6299928031666067
case_070,285,0.23929471032745592,35,91832,47214,419964,129536,11,1191,1630,38,0.2294870165628839,0.02938706968933669,1.038623005877414,0.6604433065316514,0.13602015113350127,0.3085233578971938,2.3937998085066856,419858,0.38109809216830737
case_071,741,1.0,46,12534,10954,121446,0,1,741,816,1,1,0.0620782726045884,1.484480431848853,0.5336341961852861,0.21052631578947367,0,0,111462,0.8074437529918621
case_072,6140,0.2069709431672622,251,22928094,1708199,11103184,10948952,32,29666,32624,476,0.08426418701802307,0.008460864289085148,1.092193082990629,0.9306633104258015,0.4146160587878379,0.9870139797995241,15.850868195690149,11093006,0.040355091589092985
case_073,124,0.02564102564102564,124,8160672,428064,4041088,3721600,39,4836,5053,39,0.02564102564102564,0.02564102564102564,1.185483870967742,0.9501598372566115,0.4032258064516129,0.95884312238235,36.4360386505293,3881344,0.04126588267894278
case_074,269,0.07453588251593239,39,1579424,198420,3776728,2285568,21,3609,4833,73,0.16227698820683398,0.010806317539484621,0.9966749792186201,0.8883929073642007,0.38791909116098644,0.6052022276498887,3.8134247892777933,3776536,0.19926715899804823
case_075,7410,1.0,460,1107520,644660,1837190,0,1,7410,7953,1,1,0.0620782726045884,1.5026990553306343,0.6320811788743166,0.21052631578947367,0,0,1819782,0.1382360288452278
case_076,122,0.003750614854894245,13,6061644,947248,4270674,4074496,34,32528,36815,809,0.003789071083686208,0.0003996556812592228,0.9754672897196262,0.8648505355768072,0.4697798819478603,0.9544255217078436,17.3991364835692,4269056,0.05871171253211175
case_077,2096,0.4672313865358894,135,415406,136672,2141360,57344,21,4486,5208,41,0.38373624443924137,0.03009362460989746,1.4079358002674989,0.7524407782958206,0.2050824788230049,0.02678049372799193,0.5356098745598386,2141260,0.4295717121723487
case_078,128,0.125,124,2037888,103296,2345088,2148480,8,1024,1156,8,0.125,0.12109375,1.1796875,0.9517575322812052,0.421875,0.9562467954195863,6.693727567937104,2246784,0.09589535833176308
case_079,65,0.003472222222222222,8,29424384,3760128,9351168,5812224,18,18720,21252,288,0.003472222222222222,0.00042735042735042735,0.9846153846153847,0.8866902728598208,0.5076923076923077,1,15.744186046511627,5812224,0.02648361304692054
case_080,61,0.05555555555555555,7,289044,20520,1978368,1904640,6,1098,1674,18,0.05555555555555555,0.006375227686703097,0.9836065573770492,0.9337132224677288,0.5081967213114754,1,2.6,1904640,0.5703768284413445
case_081,41,0.011764705882352941,12,0,151725,1741140,0,1,3485,5185,85,0.011764705882352941,0.003443328550932568,1.0731707317073171,0,0,0,0,1044820,0.9563025210084034
case_082,4113,1.0,138,567936,359766,592006,0,1,4113,4298,1,1,0.03355215171407731,1.5215171407731582,0.6121965889908613,0.19839533187454414,0,0,566406,0.08686512799564271
case_083,124,0.03225806451612903,124,810836,71300,1438304,930400,31,3844,4037,31,0.03225806451612903,0.03225806451612903,1.185483870967742,0.9191734607815575,0.4032258064516129,0.7855772608143525,23.567317824430575,1184352,0.14782109658015513
case_084,8,0.0009285051067780873,8,1266552,1240704,13236330,0,1,8616,18309,1077,0.0009285051067780873,0.0009285051067780873,1.125,0.5051546391752577,0.25,0,0,9927786,0.870890022675737
case_085,19737,1.0,450,2565216,1724706,1689734,0,1,19737,20240,1,1,0.022799817601459188,1.5376196990424076,0.5979633196128041,0.19151846785225718,0,0,1655942,0.05489251847277838
case_086,5274,1.0,138,79182,78060,338022,0,1,5274,5462,1,1,0.026166097838452786,1.52901023890785,0.5035677490746747,0.1945392491467577,0,0,321126,0.3557437296355232
case_087,12693,0.4606256350704021,382,3593280,882784,5919098,2004480,18,27556,29569,196,0.3935911842534527,0.01386267963419945,1.3969008564377994,0.8027767252657693,0.26447960516765856,0.33866987999359316,4.285925722677542,5918684,0.13727239921928341
case_088,2798,0.8455726805681475,176,173608,99744,1829798,73728,4,3309,3811,31,0.9057186304778582,0.05318827440314294,1.42973708068903,0.6351078462934239,0.2085222121486854,0.04029446967585382,0.12088340902756145,1829730,0.8783187794725281
case_089,128,0.025,124,589120,109760,566400,238720,40,5120,5348,40,0.025,0.02421875,1.1796875,0.842948717948718,0.421875,0.5930047694753577,23.12718600953895,402560,0.08011950027159152
case_090,128,0.07692307692307693,124,840528,59280,2228352,2148480,13,1664,1811,13,0.07692307692307693,0.07451923076923077,1.1796875,0.934119278779473,0.421875,0.981751184418319,11.781014213019828,2188416,0.22092779776521423
case_091,147,0.004658680357482411,124,8981360,931710,6577656,6478336,30,31554,34927,513,0.006342914658804457,0.003929771185903531,0.9879254611142803,0.9060119619855403,0.4772770488686062,0.9912260086173129,17.118840579710145,6535680,0.06103062342451477
case_092,124,0.007042253521126761,124,3714152,326600,3256928,930400,142,17608,18134,142,0.007042253521126761,0.007042253521126761,1.185483870967742,0.9191734607815575,0.4032258064516129,0.444388402341541,62.65876473015727,2093664,0.07307473325449973
case_093,8,0.014492753623188406,4,73968,12144,714752,8192,69,552,1181,69,0.014492753623188406,0.007246376811594203,0.875,0.8589743589743589,0.5,0.014285714285714285,0.9714285714285714,573440,0.8052491167351647
case_094,44,0.06800618238021638,36,70944,36616,526692,106272,11,647,895,40,0.08643437077131258,0.05564142194744977,1.0510046367851622,0.6595760505764224,0.17928902627511592,0.22547355557064294,1.4597732364722655,471328,0.6186710645015787
case_095,8,0.0021645021645021645,8,1069992,1014552,11355036,0,1,3696,7854,462,0.0021645021645021645,0.0021645021645021645,1.125,0.5132978723404256,0.25,0,0,8516508,0.8843552101324123
case_096,397,0.3313856427378965,119,40144,53130,219558,67392,11,1198,1476,50,0.5026726896292114,0.0993322203672788,1.0651085141903172,0.4303878894440037,0.1419031719532554,0.32051745458004377,3.1476457719014554,210260,0.3443722943722944
case_097,103,0.015625,52,10303488,1331712,5046272,4259840,8,6592,8320,64,0.015625,0.007888349514563107,0.9902912621359223,0.8855445544554456,0.5048543689320388,1,7,4259840,0.04081362220897105
case_098,389,0.28498168498168497,51,17296,162701,697994,0,1,1365,1700,27,0.5482879638109169,0.03736263736263736,1.1091575091575092,0.09609049039706218,0.020512820512820513,0,0,697912,0.3575034367746152
case_099,117,0.01858322744599746,29,1595484,144720,2534036,1904640,20,6296,7610,202,0.010869264787175235,0.004606099110546378,0.9698221092757306,0.9168373363122945,0.4540978398983482,0.7517429524098211,8.535919975750227,2533632,0.132354612560619
case_100,275,0.19727403156384504,52,62556,102007,454598,72192,10,1394,1825,43,0.5600105875087004,0.03730272596843615,1.0796269727403156,0.38013405200439954,0.0781922525107604,0.16557570308665476,1.2259647803011886,436006,0.37137810803833726
