file,bytes,role,functions_or_fields,paper_location,usage_boundary
A题研究/advanced_solver/component_baseline.py,19780,组件方案代理排序。,_fingerprint:L23-25; _component_plan_view:L28-47; _original_output_bytes:L50-54; component_proxy:L57-112; _features:L115-128; _load_order:L131-134; _ordered_components:L137-172; _work_chunks:L175-199; _granularity_bucket:L202-207; _assignment_signature:L210-212; generate_component_candidates:L215-370,§4.2 代价估计,给代理包含和遗漏的代价，不以代理作为真实得分。
A题研究/advanced_solver/engine.py,17343,求解、候选生成、实验运行或统计辅助代码；Unified staged search; every accepted candidate has an official success record.,result_key:L24-25; load_official:L28-35; source_hashes:L38-43; loose_lower_bound:L46-63; generate_coarse_p1_candidates:L66-112; Search:L115-275,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/advanced_solver/operation_assign.py,5734,在拓扑关系、通信代价和负载之间生成操作级分核方案。,memory_priority_order:L15-51; generate_operation_candidates:L54-108,§5.1 操作级归属,改写成算法2；参数具体含义从源码读取，不凭函数名编造。
A题研究/advanced_solver/operation_campaign.py,8474,求解、候选生成、实验运行或统计辅助代码；All-case operation exploration with saved WCC controls; not a cold-budget comparison.,key:L20-21; validated_control:L24-40; run_case:L43-94; main:L97-136,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/advanced_solver/solve.py,4262,"求解、候选生成、实验运行或统计辅助代码；Single-instance entry for the staged, officially verified solver.",parser:L13-33; output_path:L36-53; execute:L56-74,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/advanced_solver/supervisor.py,5360,"求解、候选生成、实验运行或统计辅助代码；Hard whole-process search deadline, including generation and official children.",supervise:L22-49; recover:L52-77; main:L80-114,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/advanced_solver/tests/run_trace_refine_probe.py,9971,"正确性/回归测试；Frozen four-case iterative P2/N5 validation, at most 40 calls, one worker.",key:L30-32; checked:L35-54; frozen_inputs:L57-75; save:L78-86; main:L89-174,附录C验证,测试通过不等同优化效果证明
A题研究/advanced_solver/tests/test_batch.py,13278,正确性/回归测试；Batch protocol tests. Fake child outputs only; zero official evaluations.,FakeChild:L18-71; BatchTests:L74-237,附录C验证,测试通过不等同优化效果证明
A题研究/advanced_solver/tests/test_cache_refine.py,9341,正确性/回归测试；Mechanism tests use saved official observations; no evaluator is invoked.,fixture:L17-21; fifo_mock:L24-54; CacheRefineTests:L57-156,附录C验证,测试通过不等同优化效果证明
A题研究/advanced_solver/tests/test_component_baseline.py,8983,正确性/回归测试；Semantic checks for the independent whole-component reference portfolio.,independent_branches:L15-46; ComponentProxyTests:L49-82; ComponentPortfolioTests:L85-168,附录C验证,测试通过不等同优化效果证明
A题研究/advanced_solver/tests/test_engine.py,5347,正确性/回归测试,EngineTests:L21-101,附录C验证,测试通过不等同优化效果证明
A题研究/advanced_solver/tests/test_operation_assign.py,1983,正确性/回归测试,OperationTests:L14-42,附录C验证,测试通过不等同优化效果证明
A题研究/advanced_solver/tests/test_trace_refine.py,14078,正确性/回归测试；Mechanism tests use explicit synthetic traces; saved official traces are read-only.,fixture:L19-35; synthetic_trace:L38-73; TraceMechanismTests:L76-216; SavedOfficialTraceTests:L219-238,附录C验证,测试通过不等同优化效果证明
A题研究/advanced_solver/trace_refine.py,23225,由已评方案的等待、通信与负载形成局部候选。,_fingerprint:L23-24; _topology:L27-42; _is_topology:L45-49; _plan_assignment:L52-57; _recover_order:L60-77; _runs_plan:L80-100; _tensor_views:L103-118; _routes_for:L121-124; _traffic_delta:L127-134; _trace:L137-214; _chain:L217-227; _communication_proposals:L230-261; _load_proposals:L264-310; _priority_orders:L313-325; generate_trace_candidates:L328-430,§5.2 轨迹驱动局部修复,写清输入trace、候选动作、验证、接受四步。
A题研究/advanced_solver/正式协议独立审阅_组件对照.md,3334,题意、方法、实验结论、协议或复现说明：正式实验协议的独立核对：组件对照,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/solver/README.md,4434,题意、方法、实验结论、协议或复现说明：A题求解与官方评测工程,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/solver/baselines.py,9984,"求解、候选生成、实验运行或统计辅助代码；Bounded, deterministic WCC packing baselines; no evaluator imports/calls.",_load_order:L14-17; _score:L20-23; _greedy:L26-49; _State:L52-93; _improve:L96-153; generate_candidates:L156-227,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/solver/benchmark.py,10498,"求解、候选生成、实验运行或统计辅助代码；Checkpointed per-graph benchmark, with bounded independent evaluator processes.",case_paths:L22-38; run_graph:L41-121; main:L124-186,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/solver/common.py,2160,求解、候选生成、实验运行或统计辅助代码；Small stdlib helpers; all generated artifacts stay outside official inputs.,read_json:L16-24; atomic_json:L27-38; digest:L41-42; object_digest:L45-49; source_manifest:L52-54; active_cores:L57-58; single_active_plan:L61-67,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/solver/eval_worker.py,8678,求解、候选生成、实验运行或统计辅助代码；One official evaluation per process. Invoked only by evaluator.py.,_sha256:L16-21; _atomic_json:L24-36; _peak_rss:L39-45; _classify:L48-63; _save_result:L66-76; _verify_inputs:L79-94; run:L97-188,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/solver/evaluator.py,11270,官方评测调用、失败记录、超时及结果缓存管理。,_sha256:L23-28; _json_bytes:L31-35; _atomic_json:L38-52; _read_json:L55-57; _cached_record:L60-71; evaluate:L74-225,§4.1 闭环框架；§7.1 协议,正文描述评测闭环与计费，异常路径代码列附件。
A题研究/solver/graph_ir.py,8284,定义操作—张量图、计算操作集合、组件与工作量。,_integer:L12-14; _unique_object:L17-23; _reject_constant:L26-27; _DSU:L30-47; Component:L51-62; GraphIR:L66-211,§3.1 图与符号,用于符号表和输入建模；正文给数学定义，完整解析代码放附件。
A题研究/solver/plan.py,4528,操作唯一归属、子图覆盖、商图与同核序联合无环。,_positive_cores:L5-7; validate_plan:L10-70; component_groups:L73-90; plan_from_component_groups:L93-106,§3.2 可行性约束；附录C,摘录关键校验判断，并写成覆盖约束及无环条件。
A题研究/solver/solve.py,7372,求解、候选生成、实验运行或统计辅助代码；Generate feasible candidates and select ONLY by unmodified official results.,result_key:L19-22; solve_one:L25-100; main:L103-132,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/solver/summarize.py,14976,求解、候选生成、实验运行或统计辅助代码；Build reproducible CSV/Markdown reports from saved official evaluations.,write_csv:L16-20; summarize:L23-208; main:L211-216,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/solver/tests/test_evaluator.py,12148,正确性/回归测试；Mechanism and persistence checks against unchanged official code.,minimal_graph:L27-36; EvaluatorTests:L39-247,附录C验证,测试通过不等同优化效果证明
A题研究/solver/tests/test_graph_baselines.py,9734,"正确性/回归测试；Mechanism tests: dependency semantics, legality, packing and bounded search.",branches:L17-49; dependency_graph:L52-58; GraphTests:L61-116; PlanTests:L119-136; PackingTests:L139-205,附录C验证,测试通过不等同优化效果证明
A题研究/solver/tests/test_runner.py,11456,"正确性/回归测试；Small, deterministic checks for score aggregation and candidate selection.",record:L24-31; plan:L34-36; RunnerTests:L39-225,附录C验证,测试通过不等同优化效果证明
A题研究/下一轮研究任务.md,4999,题意、方法、实验结论、协议或复现说明：下一轮研究任务：从原型推进到统一算法,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/四天推进安排.md,2090,题意、方法、实验结论、协议或复现说明：四天推进安排,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/实验记录/P3四格_v2/README.md,6387,题意、方法、实验结论、协议或复现说明：P3 四格与纯重编码控制消融 v2,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/实验记录/P3四格_v2/cache_seed_manifest.json,64781,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_011/four_cells.json,22157,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_011/pi2.plan.json,9781,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_011/pi3.plan.json,9781,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_019/four_cells.json,22409,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_019/pi2.plan.json,15344,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_019/pi3.plan.json,15344,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_044/four_cells.json,22173,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_044/pi2.plan.json,22887,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_044/pi3.plan.json,22887,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_049/four_cells.json,22441,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_049/pi2.plan.json,109419,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_049/pi3.plan.json,109419,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_051/four_cells.json,22462,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_051/pi2.plan.json,34947,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_051/pi3.plan.json,34947,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_064/four_cells.json,22341,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_064/pi2.plan.json,16060,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_064/pi3.plan.json,16060,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_069/four_cells.json,22407,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_069/pi2.plan.json,17695,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_069/pi3.plan.json,17695,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_071/four_cells.json,22427,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_071/pi2.plan.json,16706,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_071/pi3.plan.json,19840,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_082/four_cells.json,22462,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_082/pi2.plan.json,109062,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_082/pi3.plan.json,109062,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_093/four_cells.json,22214,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_093/pi2.plan.json,7825,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/case_093/pi3.plan.json,14736,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/control071_ablation.json,219629,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/four_cell_calls.json,207049,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/selection_manifest.json,1166949,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3四格_v2/summary.json,248455,实验协议、方案或结构化结果记录,,附录D：研究过程与追溯,以实际字段和同目录说明为准；绝对路径为历史来源
A题研究/实验记录/P3缓存收益诊断.md,8086,题意、方法、实验结论、协议或复现说明：首轮P3缓存收益诊断,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/实验记录/P3缓存诊断汇总.csv,16053,逐配置/逐调用/汇总实验数据表,"run,case,method,num_cores,active_cores,makespan_p2,makespan_p3,hardware_ratio,original_input_tensors,original_inputs_with_multiple_compute_consumers,original_inputs_actually_read_by_multiple_cores,repeated_read_tensors,all_read_bytes,potential_repeat_bytes,potential_repeat_fraction,fifo_eviction_count,max_cache_used_bytes,max_compute_pipe_busy_fraction,ddr_busy_fraction,hit_bytes,hit_rate,miss_first,miss_inflight_repeat,miss_after_eviction",附录D：研究过程与追溯,按表头及同目录报告识别样本、单位、版本，保留失败
A题研究/实验记录/advanced_structure_audit/audit.py,12559,求解、候选生成、实验运行或统计辅助代码；Bounded structural audit only: no official evaluation and no plan archive.,sha:L24-25; functions_digest:L28-32; source_snapshot:L44-47; case_constant_scan:L50-62; AuditBudgetExpired:L65-66; expired:L69-70; main:L73-208,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/实验记录/advanced_structure_audit/结构验收.md,1183,题意、方法、实验结论、协议或复现说明：Advanced候选生成结构验收,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/实验记录/audited_wall_run.py,3777,求解、候选生成、实验运行或统计辅助代码；Run the frozen hard-budget solver and account for interrupted invocations.,audit_attempts:L18-55; main:L58-69,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/实验记录/beam_refinement/README.md,4893,题意、方法、实验结论、协议或复现说明：有限beam的独立机制探索,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/实验记录/beam_refinement/audit_results.py,6857,求解、候选生成、实验运行或统计辅助代码；Read-only verification of beam evidence; writes a separate audit report.,audit:L15-103,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/实验记录/beam_refinement/run_v1/comparisons.csv,2226,逐配置/逐调用/汇总实验数据表,"case,initial_makespan,common_prefix,greedy_at_m,beam_at_m,matched_result,greedy_calls,beam_calls,greedy_final,beam_final,selected_strategy,selected_makespan,selected_added_copy_bytes,beam_final_path_strictly_worsens_makespan,selected_plan,selected_plan_file_sha256,selected_plan_object_sha256",附录D：研究过程与追溯,按表头及同目录报告识别样本、单位、版本，保留失败
A题研究/实验记录/beam_refinement/run_v1/简报.md,1365,题意、方法、实验结论、协议或复现说明：有限beam邻域：独立探索,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/实验记录/beam_refinement/run_v1/结论与交付.md,3433,题意、方法、实验结论、协议或复现说明：结论：未观察到beam的等逻辑预算优势,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/实验记录/beam_refinement/test_trace_beam.py,7451,正确性/回归测试；Synthetic search trees only; never calls the official evaluator.,plan:L13-17; BeamControllerTests:L20-127,附录C验证,测试通过不等同优化效果证明
A题研究/实验记录/beam_refinement/trace_beam.py,22235,"求解、候选生成、实验运行或统计辅助代码；Frozen-protocol beam exploration, separate from formal/fair-v2 campaigns.",score:L30-32; make_state:L35-38; _features:L41-49; distance:L52-56; select_frontier:L59-83; search_strategy:L86-176; ancestry:L179-192; checked_official:L195-213; choose_initials:L216-238; serializable_result:L241-242; compare_results:L245-256; write_report:L259-276; main:L279-374,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/实验记录/build_teammate_handoff.py,13739,求解、候选生成、实验运行或统计辅助代码；Snapshot completed evidence and assemble a portable teammate handoff.,main:L21-200,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/实验记录/collect_best_known.py,8137,"求解、候选生成、实验运行或统计辅助代码；Collect saved, officially evaluated plans across explicitly named experiments.",collect:L23-129,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/实验记录/diagnose_p3_cache.py,11934,求解、候选生成、实验运行或统计辅助代码；Read existing pilot artifacts once. No solver/official/runs files are changed.,load:L13-15; compressed:L18-20; duration_union:L23-33; analyze:L36-147; main:L150-212,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/实验记录/figures/071固定方案缓存时间线.csv,86744,逐配置/逐调用/汇总实验数据表,"problem,core,pipe,op_id,start,end,duration,cache_hit",附录D：研究过程与追溯,按表头及同目录报告识别样本、单位、版本，保留失败
A题研究/实验记录/figures_v2/README.md,2167,题意、方法、实验结论、协议或复现说明：第二轮结果诊断图,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/实验记录/figures_v2/figure1_aggregate_data.csv,260,逐配置/逐调用/汇总实验数据表,"method,official_arithmetic_mean_B_over_T,n_graphs,wins_against_control,ties_against_control,losses_against_control",附录D：研究过程与追溯,按表头及同目录报告识别样本、单位、版本，保留失败
A题研究/实验记录/figures_v2/figure1_all100_data.csv,42661,逐配置/逐调用/汇总实验数据表,"case,singlecore,control,best_new,selected,candidate_count,control_source,singlecore_source,selected_name,selected_plan_sha256,bare_time_over_control,retained_time_over_control,official_control_speedup,official_bare_speedup,official_retained_speedup",附录D：研究过程与追溯,按表头及同目录报告识别样本、单位、版本，保留失败
A题研究/实验记录/figures_v2/figure2_control071_data.csv,945,逐配置/逐调用/汇总实验数据表,"case,method,stage,makespan_cycles,semantics",附录D：研究过程与追溯,按表头及同目录报告识别样本、单位、版本，保留失败
A题研究/实验记录/figures_v2/figure2_four_cell_data.csv,3543,逐配置/逐调用/汇总实验数据表,"case,t2_pi2,t3_pi2,t2_pi3,t3_pi3,H_hardware,S_policy,R_total,H_minus1_pct,S_minus1_pct,R_minus1_pct,policy_status,pi2_plan_sha256,pi3_plan_sha256,pi2_added_copy_bytes,pi3_added_copy_bytes,pi2_P3_byte_hit_rate,pi3_P3_byte_hit_rate",附录D：研究过程与追溯,按表头及同目录报告识别样本、单位、版本，保留失败
A题研究/实验记录/finalize_computational_delivery.py,34882,"求解、候选生成、实验运行或统计辅助代码；Finite, fail-closed computational delivery chain; never a recurring task.",StopChain:L31-34; now:L37-38; sha:L41-46; read:L49-58; write:L61-66; require:L69-71; path_entry:L74-76; graph_scope:L79-80; fixed_specs:L83-94; default_config:L97-112; local_import_closure:L115-144; source_inventory:L147-163; freeze:L166-218; check_frozen:L221-226; probe_dependencies:L229-317; inheritance_call_state:L320-334; inventory_records:L337-342; verify_portfolio:L345-359; stop_process:L362-370; run_process:L373-386; run_chain:L389-526; main:L529-548,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/实验记录/finalize_computational_delivery_README.md,6720,题意、方法、实验结论、协议或复现说明：有限计算交付收尾流程,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/实验记录/formal_four_cells.py,35802,求解、候选生成、实验运行或统计辅助代码；Freeze completed formal P2/P3 selections and fill only their cross cells.,require:L42-44; now:L47-48; check_hashes:L51-53; add_hash:L56-61; timeout_for_ops:L64-65; validate_output_path:L68-74; ratios:L77-83; metrics_view:L86-95; verify_record:L98-120; build_launch:L123-156; main_status:L159-173; wait_for_main:L176-190; freeze_selection:L193-277; aggregate:L280-296; Campaign:L299-500; main:L503-548,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/实验记录/formal_four_cells_README.md,5321,题意、方法、实验结论、协议或复现说明：正式 P3 四格补评控制器,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/实验记录/handoff_run_project.py,3743,求解、候选生成、实验运行或统计辅助代码；Portable launch helper; installed as run_project.py at handoff root.,sha:L14-15; main:L18-66,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/实验记录/independent_heft_check/README.md,3088,题意、方法、实验结论、协议或复现说明：操作级HEFT候选的独立复核,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/实验记录/independent_local_move_check/README.md,2218,题意、方法、实验结论、协议或复现说明：071单操作移动的独立复核,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/实验记录/independent_local_move_check/run_verification.py,7157,求解、候选生成、实验运行或统计辅助代码；Read-only structural audit plus exactly two fresh official evaluations of the selected move.,core_assignment:L17-26; independent_stable_order:L29-71; independent_runs_plan:L74-84; main:L87-135,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/实验记录/large_baseline_recovery/README.md,775,题意、方法、实验结论、协议或复现说明：大图官方单核恢复评估,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/实验记录/large_baseline_recovery/run_recovery.py,4360,"求解、候选生成、实验运行或统计辅助代码；Recover only the two authorized official single-core evaluations, in an isolated cache.",run_case:L17-27; main:L30-69,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/实验记录/large_baseline_recovery_091/README.md,637,题意、方法、实验结论、协议或复现说明：case_091官方整图单核恢复评估,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/实验记录/large_baseline_recovery_091/run_recovery.py,3486,"求解、候选生成、实验运行或统计辅助代码；One authorized original single-core replay for case_091, with an isolated cache.",main:L15-50,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/实验记录/make_delivery.py,22577,"求解、候选生成、实验运行或统计辅助代码；Build a self-contained, archived-evidence delivery; never runs official eval.",save:L29-31; output_guard:L34-44; runtime_files:L47-55; load_catalog:L58-75; compact_record:L78-90; origin_label:L93-100; publish_new:L103-122; readme:L125-167; build_delivery:L170-319; main:L326-338,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/实验记录/make_delivery_README.md,4299,题意、方法、实验结论、协议或复现说明：计算交付打包与便携验真,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/实验记录/p1_selective_v1/README.md,3468,题意、方法、实验结论、协议或复现说明：P1 选择性分裂：六图冻结探针,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/实验记录/p3_deep_refine/README.md,4977,题意、方法、实验结论、协议或复现说明：P3 强起点局部深搜结果,,附录D：研究过程与追溯,按标题定位；历史计划不表示已完成
A题研究/实验记录/p3_deep_refine/audit.py,8689,求解、候选生成、实验运行或统计辅助代码；Independent post-run bookkeeping and exact-result audit; never evaluates.,read:L12-13; sha:L16-17; plan_hash:L20-22; key:L25-26; main:L29-131,附录D：研究过程与追溯,结合函数列表与模块说明判断用途，不自动纳入默认流程
A题研究/实验记录/p3_deep_refine/results.csv,5084,逐配置/逐调用/汇总实验数据表,"case,case_status,logical_calls,p3_calls,p2_calls,cache_hits,new_worker_calls,failure_count,frozen_p2_makespan,frozen_existing_p3_makespan,p2_plan_in_p3_makespan,initialized_p3_makespan,round0_control_candidate_makespan,round0_control_retained_makespan,final_p3_makespan,cycles_saved_from_initialization,cycles_saved_beyond_round0_control,initial_added_copy_bytes,final_added_copy_bytes,final_P2_makespan,four_cell_complete,final_family,accepted_path_control_decrease,accepted_path_directed_decrease,generation_error_count,selected_plan_path,selected_plan_sha256,selected_record_path",附录D：研究过程与追溯,按表头及同目录报告识别样本、单位、版本，保留失败
